GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US01003,01003,"Baldwin County, Alabama",0.408,0.021
0500000US01015,01015,"Calhoun County, Alabama",0.428,0.022
0500000US01043,01043,"Cullman County, Alabama",0.441,0.024
0500000US01049,01049,"DeKalb County, Alabama",0.456,0.056
0500000US01051,01051,"Elmore County, Alabama",0.394,0.022
0500000US01055,01055,"Etowah County, Alabama",0.463,0.024
0500000US01069,01069,"Houston County, Alabama",0.455,0.016
0500000US01073,01073,"Jefferson County, Alabama",0.489,0.014
0500000US01077,01077,"Lauderdale County, Alabama",0.441,0.022
0500000US01081,01081,"Lee County, Alabama",0.497,0.032
0500000US01083,01083,"Limestone County, Alabama",0.432,0.032
0500000US01089,01089,"Madison County, Alabama",0.454,0.023
0500000US01095,01095,"Marshall County, Alabama",0.491,0.030
0500000US01097,01097,"Mobile County, Alabama",0.462,0.014
0500000US01101,01101,"Montgomery County, Alabama",0.482,0.020
0500000US01103,01103,"Morgan County, Alabama",0.417,0.018
0500000US01115,01115,"St. Clair County, Alabama",0.449,0.042
0500000US01117,01117,"Shelby County, Alabama",0.434,0.036
0500000US01121,01121,"Talladega County, Alabama",0.442,0.024
0500000US01125,01125,"Tuscaloosa County, Alabama",0.486,0.032
0500000US01127,01127,"Walker County, Alabama",0.437,0.033
0500000US02020,02020,"Anchorage Municipality, Alaska",0.399,0.024
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",0.413,0.047
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",0.363,0.019
0500000US04001,04001,"Apache County, Arizona",0.496,0.029
0500000US04003,04003,"Cochise County, Arizona",0.429,0.022
0500000US04005,04005,"Coconino County, Arizona",0.437,0.019
0500000US04013,04013,"Maricopa County, Arizona",0.449,0.006
0500000US04015,04015,"Mohave County, Arizona",0.426,0.023
0500000US04017,04017,"Navajo County, Arizona",0.427,0.030
0500000US04019,04019,"Pima County, Arizona",0.457,0.010
0500000US04021,04021,"Pinal County, Arizona",0.408,0.022
0500000US04025,04025,"Yavapai County, Arizona",0.448,0.032
0500000US04027,04027,"Yuma County, Arizona",0.420,0.018
0500000US05007,05007,"Benton County, Arkansas",0.442,0.023
0500000US05031,05031,"Craighead County, Arkansas",0.454,0.021
0500000US05045,05045,"Faulkner County, Arkansas",0.434,0.022
0500000US05051,05051,"Garland County, Arkansas",0.458,0.034
0500000US05069,05069,"Jefferson County, Arkansas",0.434,0.026
0500000US05085,05085,"Lonoke County, Arkansas",0.382,0.022
0500000US05119,05119,"Pulaski County, Arkansas",0.492,0.022
0500000US05125,05125,"Saline County, Arkansas",0.399,0.025
0500000US05131,05131,"Sebastian County, Arkansas",0.461,0.027
0500000US05143,05143,"Washington County, Arkansas",0.455,0.020
0500000US05145,05145,"White County, Arkansas",0.435,0.030
0500000US06001,06001,"Alameda County, California",0.455,0.008
0500000US06007,06007,"Butte County, California",0.467,0.021
0500000US06013,06013,"Contra Costa County, California",0.456,0.011
0500000US06017,06017,"El Dorado County, California",0.404,0.023
0500000US06019,06019,"Fresno County, California",0.470,0.015
0500000US06023,06023,"Humboldt County, California",0.471,0.031
0500000US06025,06025,"Imperial County, California",0.462,0.036
0500000US06029,06029,"Kern County, California",0.461,0.012
0500000US06031,06031,"Kings County, California",0.404,0.029
0500000US06033,06033,"Lake County, California",0.428,0.033
0500000US06037,06037,"Los Angeles County, California",0.498,0.005
0500000US06039,06039,"Madera County, California",0.456,0.037
0500000US06041,06041,"Marin County, California",0.485,0.019
0500000US06045,06045,"Mendocino County, California",0.489,0.057
0500000US06047,06047,"Merced County, California",0.459,0.020
0500000US06053,06053,"Monterey County, California",0.433,0.017
0500000US06055,06055,"Napa County, California",0.465,0.027
0500000US06057,06057,"Nevada County, California",0.419,0.032
0500000US06059,06059,"Orange County, California",0.460,0.008
0500000US06061,06061,"Placer County, California",0.419,0.017
0500000US06065,06065,"Riverside County, California",0.434,0.008
0500000US06067,06067,"Sacramento County, California",0.417,0.007
0500000US06071,06071,"San Bernardino County, California",0.431,0.012
0500000US06073,06073,"San Diego County, California",0.455,0.006
0500000US06075,06075,"San Francisco County, California",0.514,0.012
0500000US06077,06077,"San Joaquin County, California",0.434,0.013
0500000US06079,06079,"San Luis Obispo County, California",0.436,0.020
0500000US06081,06081,"San Mateo County, California",0.479,0.013
0500000US06083,06083,"Santa Barbara County, California",0.459,0.017
0500000US06085,06085,"Santa Clara County, California",0.446,0.008
0500000US06087,06087,"Santa Cruz County, California",0.467,0.018
0500000US06089,06089,"Shasta County, California",0.453,0.019
0500000US06095,06095,"Solano County, California",0.396,0.014
0500000US06097,06097,"Sonoma County, California",0.456,0.017
0500000US06099,06099,"Stanislaus County, California",0.442,0.019
0500000US06101,06101,"Sutter County, California",0.446,0.035
0500000US06107,06107,"Tulare County, California",0.427,0.014
0500000US06111,06111,"Ventura County, California",0.434,0.012
0500000US06113,06113,"Yolo County, California",0.446,0.019
0500000US06115,06115,"Yuba County, California",0.421,0.033
0500000US08001,08001,"Adams County, Colorado",0.395,0.013
0500000US08005,08005,"Arapahoe County, Colorado",0.483,0.013
0500000US08013,08013,"Boulder County, Colorado",0.477,0.022
0500000US08031,08031,"Denver County, Colorado",0.524,0.014
0500000US08035,08035,"Douglas County, Colorado",0.373,0.017
0500000US08041,08041,"El Paso County, Colorado",0.427,0.012
0500000US08059,08059,"Jefferson County, Colorado",0.441,0.013
0500000US08069,08069,"Larimer County, Colorado",0.470,0.020
0500000US08077,08077,"Mesa County, Colorado",0.411,0.025
0500000US08101,08101,"Pueblo County, Colorado",0.432,0.028
0500000US08123,08123,"Weld County, Colorado",0.409,0.017
0500000US09001,09001,"Fairfield County, Connecticut",0.548,0.011
0500000US09003,09003,"Hartford County, Connecticut",0.456,0.010
0500000US09005,09005,"Litchfield County, Connecticut",0.407,0.015
0500000US09007,09007,"Middlesex County, Connecticut",0.436,0.023
0500000US09009,09009,"New Haven County, Connecticut",0.446,0.009
0500000US09011,09011,"New London County, Connecticut",0.403,0.015
0500000US09013,09013,"Tolland County, Connecticut",0.394,0.023
0500000US09015,09015,"Windham County, Connecticut",0.416,0.021
0500000US10001,10001,"Kent County, Delaware",0.370,0.018
0500000US10003,10003,"New Castle County, Delaware",0.457,0.015
0500000US10005,10005,"Sussex County, Delaware",0.446,0.020
0500000US11001,11001,"District of Columbia, District of Columbia",0.540,0.013
0500000US12001,12001,"Alachua County, Florida",0.493,0.020
0500000US12005,12005,"Bay County, Florida",0.432,0.042
0500000US12009,12009,"Brevard County, Florida",0.433,0.013
0500000US12011,12011,"Broward County, Florida",0.470,0.009
0500000US12015,12015,"Charlotte County, Florida",0.439,0.028
0500000US12017,12017,"Citrus County, Florida",0.460,0.037
0500000US12019,12019,"Clay County, Florida",0.377,0.017
0500000US12021,12021,"Collier County, Florida",0.530,0.024
0500000US12023,12023,"Columbia County, Florida",0.402,0.027
0500000US12031,12031,"Duval County, Florida",0.442,0.014
0500000US12033,12033,"Escambia County, Florida",0.439,0.019
0500000US12035,12035,"Flagler County, Florida",0.389,0.031
0500000US12053,12053,"Hernando County, Florida",0.404,0.020
0500000US12055,12055,"Highlands County, Florida",0.426,0.029
0500000US12057,12057,"Hillsborough County, Florida",0.463,0.010
0500000US12061,12061,"Indian River County, Florida",0.519,0.031
0500000US12069,12069,"Lake County, Florida",0.416,0.018
0500000US12071,12071,"Lee County, Florida",0.473,0.016
0500000US12073,12073,"Leon County, Florida",0.479,0.021
0500000US12081,12081,"Manatee County, Florida",0.469,0.019
0500000US12083,12083,"Marion County, Florida",0.443,0.026
0500000US12085,12085,"Martin County, Florida",0.521,0.026
0500000US12086,12086,"Miami-Dade County, Florida",0.508,0.007
0500000US12087,12087,"Monroe County, Florida",0.499,0.040
0500000US12089,12089,"Nassau County, Florida",0.401,0.045
0500000US12091,12091,"Okaloosa County, Florida",0.401,0.021
0500000US12095,12095,"Orange County, Florida",0.450,0.010
0500000US12097,12097,"Osceola County, Florida",0.397,0.022
0500000US12099,12099,"Palm Beach County, Florida",0.524,0.012
0500000US12101,12101,"Pasco County, Florida",0.439,0.022
0500000US12103,12103,"Pinellas County, Florida",0.465,0.013
0500000US12105,12105,"Polk County, Florida",0.432,0.015
0500000US12107,12107,"Putnam County, Florida",0.456,0.029
0500000US12109,12109,"St. Johns County, Florida",0.474,0.023
0500000US12111,12111,"St. Lucie County, Florida",0.412,0.017
0500000US12113,12113,"Santa Rosa County, Florida",0.398,0.031
0500000US12115,12115,"Sarasota County, Florida",0.489,0.022
0500000US12117,12117,"Seminole County, Florida",0.446,0.016
0500000US12119,12119,"Sumter County, Florida",0.366,0.036
0500000US12127,12127,"Volusia County, Florida",0.425,0.015
0500000US13013,13013,"Barrow County, Georgia",0.401,0.034
0500000US13015,13015,"Bartow County, Georgia",0.420,0.027
0500000US13021,13021,"Bibb County, Georgia",0.516,0.030
0500000US13031,13031,"Bulloch County, Georgia",0.447,0.025
0500000US13045,13045,"Carroll County, Georgia",0.409,0.022
0500000US13051,13051,"Chatham County, Georgia",0.483,0.019
0500000US13057,13057,"Cherokee County, Georgia",0.411,0.018
0500000US13059,13059,"Clarke County, Georgia",0.540,0.035
0500000US13063,13063,"Clayton County, Georgia",0.368,0.013
0500000US13067,13067,"Cobb County, Georgia",0.440,0.013
0500000US13073,13073,"Columbia County, Georgia",0.419,0.029
0500000US13077,13077,"Coweta County, Georgia",0.382,0.022
0500000US13089,13089,"DeKalb County, Georgia",0.468,0.011
0500000US13095,13095,"Dougherty County, Georgia",0.526,0.035
0500000US13097,13097,"Douglas County, Georgia",0.377,0.025
0500000US13113,13113,"Fayette County, Georgia",0.401,0.030
