GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC05_EST_VC04,HC05_MOE_VC04,HC01_EST_VC06,HC01_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC05_EST_VC07,HC05_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC05_EST_VC08,HC05_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC05_EST_VC09,HC05_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC05_EST_VC10,HC05_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC05_EST_VC11,HC05_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC05_EST_VC12,HC05_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC05_EST_VC13,HC05_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC04_EST_VC14,HC04_MOE_VC14,HC05_EST_VC14,HC05_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC05_EST_VC15,HC05_MOE_VC15,HC01_EST_VC17,HC01_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC05_EST_VC17,HC05_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC05_EST_VC18,HC05_MOE_VC18,HC01_EST_VC20,HC01_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC05_EST_VC20,HC05_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC04_EST_VC21,HC04_MOE_VC21,HC05_EST_VC21,HC05_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC04_EST_VC22,HC04_MOE_VC22,HC05_EST_VC22,HC05_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC05_EST_VC23,HC05_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC05_EST_VC24,HC05_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC04_EST_VC26,HC04_MOE_VC26,HC05_EST_VC26,HC05_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC04_EST_VC27,HC04_MOE_VC27,HC05_EST_VC27,HC05_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28,HC05_EST_VC28,HC05_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC04_EST_VC29,HC04_MOE_VC29,HC05_EST_VC29,HC05_MOE_VC29,HC01_EST_VC31,HC01_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC04_EST_VC31,HC04_MOE_VC31,HC05_EST_VC31,HC05_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC04_EST_VC32,HC04_MOE_VC32,HC05_EST_VC32,HC05_MOE_VC32,HC01_EST_VC34,HC01_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC04_EST_VC34,HC04_MOE_VC34,HC05_EST_VC34,HC05_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC04_EST_VC35,HC04_MOE_VC35,HC05_EST_VC35,HC05_MOE_VC35
0500000US01003,01003,"Baldwin County, Alabama",42415,855,3039,1004,72,24,17.0,15.0,5475,677,0,271,0,31,,,17040,1004,2407,936,141,52,16.2,15.4,19900,1059,632,381,32,19,20.3,30.7,,,,,,,,,35659,948,2084,793,58,22,4.9,8.3,4644,475,550,558,118,117,75.5,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34867,469,2084,793,60,23,4.9,8.3,40623,1133,3039,1004,75,25,17.0,15.0,1792,844,0,271,0,90,,,7482,1421,442,412,59,55,62.2,45.9,9253,1450,692,582,75,63,0.0,21.6,15475,1770,864,550,56,34,28.1,30.1,7301,1349,846,463,116,62,0.0,18.1,2904,878,195,187,67,60,0.0,48.6,42247,866,2997,1007,71,24,17.3,15.2,4727,1266,525,492,111,110,74.3,35.6,7055,1622,510,435,72,64,0.0,27.7,30465,1897,1962,721,64,24,6.5,11.1,41568,957,3039,1004,73,24,17.0,15.0,30573,1760,1942,858,64,27,21.4,21.0,1.9,,(X),,(X),,(X),,2.1,,(X),,(X),,(X),
0500000US01015,01015,"Calhoun County, Alabama",27867,649,2458,791,88,28,40.7,16.6,3824,559,115,128,30,34,51.3,51.3,10732,473,2119,758,197,71,44.4,18.8,13311,630,224,338,17,25,0.0,45.3,,,,,,,,,20481,447,1506,736,74,36,41.6,23.5,6647,428,930,447,140,70,40.2,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20191,385,1506,736,75,36,41.6,23.5,27358,668,2458,791,90,29,40.7,16.6,509,231,0,271,0,277,,,5990,1138,544,419,91,66,37.7,44.9,7622,1140,938,443,123,56,71.0,26.1,9975,1308,816,687,82,67,13.4,19.6,2692,745,20,44,7,16,100.0,100.0,1588,553,140,232,88,138,0.0,57.3,26926,1012,2458,791,91,29,40.7,16.6,6037,1318,1156,471,191,64,79.7,21.2,5548,1301,610,469,110,77,9.7,17.9,15341,1534,692,572,45,36,2.9,6.8,27498,643,2458,791,89,29,40.7,16.6,19921,1158,1771,704,89,35,28.1,18.7,3.2,,(X),,(X),,(X),,2.9,,(X),,(X),,(X),
0500000US01043,01043,"Cullman County, Alabama",18758,677,,,,,,,2552,505,,,,,,,7825,706,,,,,,,8381,361,,,,,,,,,,,,,,,18290,506,947,623,52,34,28.6,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17963,306,947,623,53,35,28.6,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18478,807,947,623,51,34,28.6,36.8,3862,1009,339,425,88,111,79.9,49.7,3998,1392,63,107,16,28,0.0,85.5,10618,1385,545,453,51,42,0.0,26.3,18199,694,947,623,52,34,28.6,36.8,11225,1202,715,598,64,52,37.9,45.8,0.6,,(X),,(X),,(X),,2.0,,(X),,(X),,(X),
0500000US01049,01049,"DeKalb County, Alabama",16315,767,958,478,59,30,36.3,40.9,2012,200,0,271,0,81,,,6833,661,944,479,138,71,36.9,41.4,7470,350,14,24,2,3,0.0,100.0,,,,,,,,,14882,495,878,484,59,33,39.6,44.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14082,316,653,538,46,38,18.8,33.0,15124,742,692,540,46,36,17.8,30.9,1191,531,266,332,223,261,84.6,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16315,767,958,478,59,30,36.3,40.9,3937,1298,426,515,108,125,0.0,31.7,4387,1068,239,325,54,71,94.1,23.5,7991,1255,293,244,37,30,42.0,49.4,16092,757,958,478,60,30,36.3,40.9,10267,1031,361,360,35,34,62.3,49.1,10.5,,(X),,(X),,(X),,11.4,,(X),,(X),,(X),
0500000US01051,01051,"Elmore County, Alabama",19445,380,,,,,,,3129,861,,,,,,,7190,616,,,,,,,9126,258,,,,,,,,,,,,,,,14076,211,505,346,36,25,13.5,21.6,4669,352,437,473,94,104,28.4,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13988,123,505,346,36,25,13.5,21.6,18891,387,942,606,50,32,20.4,23.9,554,304,0,271,0,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19079,496,805,607,42,32,6.8,11.4,2976,1093,158,203,53,75,22.2,44.8,2613,961,52,87,20,35,0.0,94.1,13490,1434,595,513,44,37,3.4,8.2,18417,378,942,606,51,33,20.4,23.9,14345,832,739,590,52,40,2.7,6.3,2.2,,(X),,(X),,(X),,3.5,,(X),,(X),,(X),
0500000US01055,01055,"Etowah County, Alabama",24017,533,1165,684,49,29,9.3,15.1,3003,645,49,87,16,30,0.0,96.9,9458,507,1045,654,110,69,10.3,17.5,11556,474,71,116,6,10,0.0,80.5,,,,,,,,,19100,379,995,642,52,34,10.9,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18910,259,995,642,53,34,10.9,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23904,576,1165,684,49,29,9.3,15.1,4498,1122,571,515,127,109,18.9,34.5,4211,1162,416,356,99,83,0.0,32.2,15195,1477,178,215,12,14,0.0,50.8,23450,546,1165,684,50,29,9.3,15.1,15216,1625,241,307,16,20,0.0,43.7,0.9,,(X),,(X),,(X),,3.0,,(X),,(X),,(X),
0500000US01069,01069,"Houston County, Alabama",23875,261,1474,647,62,27,47.4,25.3,3158,119,248,283,79,90,100.0,43.1,9676,187,802,252,83,26,56.1,15.0,11041,256,424,539,38,49,0.0,31.8,,,,,,,,,15966,202,1132,620,71,39,36.8,31.6,6878,225,301,166,44,24,79.7,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15729,166,1118,618,71,39,37.3,32.0,23428,285,1419,645,61,28,46.3,26.0,447,180,55,70,123,151,74.5,58.6,5033,429,429,291,85,58,87.2,21.8,7574,864,677,561,89,71,32.5,39.0,6649,698,265,144,40,21,39.2,26.4,2987,450,89,62,30,21,0.0,71.9,1632,506,14,25,9,15,0.0,100.0,23781,314,1474,647,62,27,47.4,25.3,3832,699,433,198,113,51,72.5,22.3,5113,667,163,118,32,23,40.5,39.2,14836,875,878,617,59,42,36.2,42.0,22958,348,1474,647,64,28,47.4,25.3,16438,839,437,232,27,14,60.9,22.5,1.7,,(X),,(X),,(X),,2.2,,(X),,(X),,(X),
0500000US01073,01073,"Jefferson County, Alabama",163711,921,8635,1573,53,10,49.7,7.7,21920,427,540,443,25,20,58.0,48.9,63874,1070,6784,1553,106,24,53.6,9.0,77917,1442,1311,602,17,8,26.2,18.6,,,,,,,,,81657,903,3484,849,43,10,15.0,11.2,76216,884,4961,1347,65,18,76.0,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4067,134,426,340,105,84,0.0,31.7,79675,586,3261,810,41,10,16.0,11.9,158237,1200,8273,1539,52,10,51.9,7.9,5474,927,362,315,66,59,0.0,35.3,25509,2387,1214,539,48,20,82.9,17.8,37094,2934,1993,726,54,19,79.9,13.8,57456,3377,2584,931,45,17,48.6,17.1,30739,2503,1628,604,53,20,19.5,16.0,12913,1690,1216,483,94,35,10.0,11.4,160362,2066,8635,1573,54,10,49.7,7.7,25935,3240,2309,891,89,32,77.8,16.4,31723,3489,1538,692,48,22,52.7,20.9,102704,4058,4788,1315,47,13,35.2,12.2,159486,1374,8635,1573,54,10,49.7,7.7,118499,3128,6190,1418,52,12,48.4,10.0,3.6,,(X),,(X),,(X),,4.1,,(X),,(X),,(X),
0500000US01077,01077,"Lauderdale County, Alabama",22050,742,723,366,33,17,36.0,27.2,3102,580,55,104,18,35,100.0,91.5,8908,581,494,341,55,39,27.3,38.3,10040,590,174,179,17,18,40.2,53.2,,,,,,,,,18976,719,653,372,34,20,29.1,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18629,565,653,372,35,20,29.1,31.9,21076,710,681,370,32,18,38.2,29.2,974,518,42,70,43,79,0.0,100.0,4182,961,185,218,44,52,37.8,59.6,6129,1534,235,239,38,39,80.9,41.1,6674,1151,161,139,24,21,0.0,53.5,3604,1045,142,147,39,40,0.0,56.9,1461,601,0,271,0,110,,,21322,1338,723,366,34,18,36.0,27.2,4091,1169,462,289,113,75,56.3,36.7,4074,1723,119,142,29,41,0.0,62.2,13157,1616,142,147,11,11,0.0,56.9,21317,992,723,366,34,18,36.0,27.2,14677,1190,414,276,28,19,49.5,34.2,9.3,,(X),,(X),,(X),,10.8,,(X),,(X),,(X),
0500000US01081,01081,"Lee County, Alabama",38862,474,1759,582,45,15,31.3,17.7,6387,146,214,190,34,30,100.0,46.4,18790,310,1131,509,60,27,29.7,19.3,13685,518,414,330,30,24,0.0,32.3,,,,,,,,,28333,349,1364,557,48,20,18.0,17.2,9170,308,395,213,43,23,77.0,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27898,299,1348,554,48,20,17.1,17.2,37149,458,1713,568,46,15,30.2,17.9,1713,324,46,46,27,28,69.6,49.8,4950,670,147,132,30,26,100.0,55.9,8352,1628,285,250,34,29,94.4,13.1,16006,1541,759,494,47,31,10.1,16.9,6311,1191,235,186,37,29,17.4,29.0,3243,723,333,238,103,67,4.8,9.7,37119,1328,1759,582,47,16,31.3,17.7,7159,1327,144,119,20,17,50.0,43.7,9554,1546,600,380,63,41,37.8,34.9,20406,1602,1015,469,50,23,24.7,22.4,37849,622,1696,578,45,15,28.7,17.8,25234,1498,986,446,39,18,35.3,25.2,1.7,,(X),,(X),,(X),,1.6,,(X),,(X),,(X),
