GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC01_EST_VC31,HC01_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC01_EST_VC38,HC01_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC01_EST_VC54,HC01_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC01_EST_VC63,HC01_MOE_VC63,HC01_EST_VC64,HC01_MOE_VC64,HC01_EST_VC65,HC01_MOE_VC65,HC01_EST_VC66,HC01_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC01_EST_VC68,HC01_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC01_EST_VC71,HC01_MOE_VC71,HC01_EST_VC72,HC01_MOE_VC72,HC01_EST_VC73,HC01_MOE_VC73,HC01_EST_VC74,HC01_MOE_VC74,HC01_EST_VC77,HC01_MOE_VC77,HC01_EST_VC78,HC01_MOE_VC78,HC01_EST_VC79,HC01_MOE_VC79,HC01_EST_VC80,HC01_MOE_VC80,HC01_EST_VC81,HC01_MOE_VC81
0500000US01003,01003,"Baldwin County, Alabama",28477,2244,7.2,2.7,11.2,3.0,14.9,3.3,26.5,4.8,20.7,4.0,15.6,4.0,4.0,1.8,176300,10661,16.2,3.4,2.2,1.5,13.9,3.1,0.8,0.6,83.1,3.5,2.7,1.5,10.3,3.2,5.3,2.2,14.8,3.5,19.2,4.0,17.7,4.0,18.4,3.7,11.5,3.7,70498,9243,41.3,4.9,19.9,3.8,11.7,3.1,26.1,5.2,1.0,0.8,0.0,0.5,0.0,0.1,1.5,1.1,2.4,1.5,5.9,2.4,3.9,1.5,5.5,2.1,5.4,2.1,7.7,3.2,19.6,3.4,13.7,4.0,18.7,3.7,15.6,3.6,1225,64,7.7,2.7,0.0,0.5,0.0,0.5,7.7,2.7,9.6,3.3,0.6,0.5,1.9,1.3,7.1,2.8,14.8,3.5,4.1,2.0,4.5,1.4,6.3,2.5,19.2,4.0,5.2,2.5,7.4,2.3,6.6,2.7,47.6,4.9,33.2,5.1,12.2,4.0,2.3,1.5,1.0,0.8,56.2,5.5,25.2,4.3,12.6,3.9,6.0,2.4,635,85
0500000US01015,01015,"Calhoun County, Alabama",14907,1602,11.7,3.8,31.4,6.3,22.0,4.5,19.3,5.6,9.0,3.9,5.8,3.4,0.8,0.8,113100,12378,11.8,3.4,1.8,1.8,10.0,2.9,0.5,0.6,87.6,3.5,1.5,1.2,10.9,3.9,9.0,3.3,20.7,5.5,23.3,6.2,15.2,4.6,13.9,3.8,5.4,2.7,57145,6484,54.2,5.7,21.3,5.4,10.6,3.8,13.9,4.0,0.0,1.0,0.0,1.0,0.7,0.9,2.3,1.8,3.7,2.1,5.1,3.3,12.4,3.8,9.7,4.0,6.3,2.6,7.8,3.8,23.5,5.3,13.7,4.5,11.6,4.0,3.4,2.1,1023,64,9.1,3.2,0.0,1.0,0.0,1.0,9.1,3.2,12.3,4.0,1.8,1.5,2.6,1.7,8.0,3.3,20.7,5.5,5.4,2.8,10.8,4.3,4.5,3.1,23.3,6.2,12.5,5.1,6.7,2.9,4.1,2.6,34.6,5.7,25.2,5.7,8.1,3.8,1.2,1.1,0.0,1.0,63.1,6.0,19.0,5.1,3.2,2.0,14.7,3.8,528,58
0500000US01043,01043,"Cullman County, Alabama",14704,1477,11.9,4.1,26.9,5.9,18.9,4.5,14.9,4.7,15.4,5.2,9.0,3.0,2.9,2.1,125000,17283,9.2,3.9,3.9,2.6,5.3,3.0,1.9,1.8,88.9,4.1,4.9,3.1,11.6,3.5,10.2,4.2,17.7,5.5,23.3,5.5,10.9,4.7,14.3,5.1,7.1,3.2,54307,4452,41.8,7.1,27.7,6.3,10.7,3.9,17.4,5.6,2.5,2.2,0.0,1.0,0.3,0.5,0.8,1.1,3.6,1.9,3.0,2.1,8.4,3.8,14.4,5.2,13.0,4.7,7.8,3.1,14.4,4.3,11.3,3.4,11.7,4.3,11.3,3.9,983,77,11.6,3.2,0.0,1.0,0.0,1.0,11.6,3.2,12.6,4.5,0.3,0.5,3.5,2.5,8.8,3.8,17.7,5.5,2.5,1.5,9.8,4.4,5.5,3.0,23.3,5.5,10.4,3.1,8.7,4.1,4.1,2.5,32.3,5.8,22.8,5.2,7.6,3.4,1.9,2.2,2.5,2.2,76.6,5.8,9.3,3.4,4.0,2.6,10.2,3.3,470,31
0500000US01049,01049,"DeKalb County, Alabama",8077,1091,11.5,5.5,32.5,9.7,18.4,5.9,15.6,6.3,14.9,7.6,4.6,2.9,2.4,2.3,110200,17053,6.7,3.6,1.4,1.3,5.3,3.4,0.0,1.9,93.3,3.6,2.2,2.1,13.2,7.4,4.9,3.7,21.0,7.5,28.8,7.0,16.8,7.5,11.6,6.3,1.4,1.3,55804,8425,49.2,11.1,23.5,8.8,15.6,8.7,11.2,4.4,0.6,1.0,0.0,1.9,0.0,1.9,2.5,2.8,2.2,2.1,10.6,6.9,14.7,7.5,12.3,5.3,6.3,4.1,13.1,5.7,13.3,6.7,9.0,4.8,11.9,7.4,4.2,2.7,911,94,9.8,6.5,0.0,1.9,0.5,0.6,9.3,6.4,9.9,5.8,1.7,2.5,2.4,2.6,5.7,4.1,21.0,7.5,8.5,6.7,7.2,4.0,5.3,3.3,28.8,7.0,16.7,6.9,9.8,5.8,2.3,2.1,29.9,9.2,21.9,7.6,5.8,4.9,2.2,2.5,0.6,1.0,77.4,8.5,12.6,6.7,1.4,1.2,8.7,5.5,370,39
0500000US01051,01051,"Elmore County, Alabama",13648,1584,7.6,4.4,15.1,4.5,21.8,5.7,21.8,5.4,21.4,5.8,11.1,3.3,1.2,1.2,162600,15851,13.2,4.4,4.6,3.5,8.6,3.1,0.0,1.1,86.8,4.4,3.4,3.4,5.2,2.3,8.6,4.2,11.4,4.4,26.1,6.2,17.3,5.1,20.7,5.9,7.3,3.1,71344,3763,37.2,7.0,32.0,6.3,12.6,4.8,16.0,4.7,2.2,3.2,0.3,0.6,2.0,1.6,0.3,0.5,2.6,2.0,5.5,3.3,6.8,4.2,9.2,3.8,9.1,5.1,8.3,3.7,20.5,5.1,13.3,4.4,14.8,4.3,7.2,3.0,1072,63,3.3,1.8,0.0,1.1,0.3,0.6,3.0,1.7,11.7,5.0,0.7,0.8,1.8,1.7,9.2,4.9,11.4,4.4,1.7,1.3,5.6,3.0,4.2,2.5,26.1,6.2,12.7,4.4,9.3,4.3,4.1,2.5,45.3,6.8,36.4,6.6,8.3,3.8,0.6,0.6,2.2,3.2,77.9,5.1,8.6,3.3,3.9,2.9,9.6,4.4,426,54
0500000US01055,01055,"Etowah County, Alabama",14754,1359,12.8,3.7,26.1,5.5,23.8,4.9,18.5,3.9,11.0,2.8,7.7,3.3,0.0,1.0,124400,12058,9.5,2.8,1.1,1.0,8.3,2.8,0.3,0.5,90.2,2.9,3.6,2.5,7.9,3.0,7.1,2.5,19.6,4.6,24.9,4.9,18.3,4.2,15.3,4.2,3.3,1.8,60972,4612,56.6,6.4,19.4,5.2,10.7,3.6,12.1,4.2,1.2,0.9,0.0,1.0,0.0,1.0,2.2,1.7,2.6,1.8,5.6,2.9,5.9,2.7,10.8,3.8,10.2,4.3,10.4,4.2,23.1,5.1,12.3,4.6,13.1,4.0,3.7,1.5,1025,57,7.9,3.4,0.0,1.0,0.6,1.0,7.3,3.3,9.6,2.9,0.0,1.0,3.6,1.9,6.0,2.4,19.6,4.6,7.0,3.3,8.5,3.9,4.1,2.2,24.9,4.9,9.6,3.6,10.1,3.4,5.1,2.8,36.9,5.4,30.8,4.9,5.6,3.0,0.5,0.7,1.2,0.9,64.1,6.1,21.0,4.6,2.2,1.5,12.7,4.0,527,51
0500000US01069,01069,"Houston County, Alabama",15321,779,8.6,1.7,26.0,3.3,25.5,3.3,18.5,2.7,12.6,2.0,7.0,1.8,1.8,1.0,131800,5958,15.1,3.1,3.7,1.2,11.4,3.0,0.5,0.3,84.4,3.1,3.1,1.2,13.6,2.1,10.3,2.5,17.3,2.5,18.9,2.9,17.9,2.9,12.1,2.1,6.7,1.2,56123,5768,46.8,3.1,19.0,2.3,12.8,3.2,21.1,2.5,0.4,0.3,0.0,1.0,0.3,0.2,1.2,0.7,2.8,1.1,7.0,1.6,6.9,1.7,9.0,2.0,10.9,2.5,10.1,1.9,22.3,3.2,12.5,2.7,10.0,2.0,6.9,2.0,1020,45,12.6,2.1,0.0,1.0,0.2,0.3,12.3,2.1,14.1,2.7,1.3,0.8,3.0,1.1,9.8,2.3,17.3,2.5,3.5,1.2,6.4,1.6,7.4,2.0,18.9,2.9,7.9,1.3,8.1,2.5,2.9,1.3,36.8,3.1,30.8,3.0,4.8,1.4,1.2,1.0,0.4,0.3,68.2,3.3,11.6,2.0,4.1,1.2,16.1,2.7,419,38
0500000US01073,01073,"Jefferson County, Alabama",103005,4034,5.8,0.9,22.8,2.3,19.3,2.1,16.5,2.1,17.4,1.7,11.8,1.6,6.4,1.1,155800,6947,15.5,1.6,4.6,1.1,10.8,1.3,0.4,0.2,84.2,1.6,2.6,0.7,9.5,1.4,7.3,1.2,12.8,1.5,20.9,1.9,14.3,1.6,18.6,2.2,14.1,1.5,71054,2047,44.7,2.6,24.4,2.6,11.1,1.5,19.4,1.9,0.5,0.3,0.1,0.1,0.2,0.2,0.5,0.3,1.3,0.4,3.9,0.9,4.6,0.9,6.6,1.4,7.0,1.3,7.2,1.4,20.4,2.0,15.1,1.8,18.3,1.8,15.0,1.6,1230,27,9.1,1.3,0.1,0.2,0.1,0.1,8.9,1.3,9.8,1.4,0.4,0.3,1.8,0.6,7.6,1.2,12.8,1.5,2.0,0.7,5.8,1.1,5.0,1.1,20.9,1.9,8.5,1.4,8.3,1.3,4.1,0.9,46.9,2.1,34.6,2.1,9.6,1.3,2.7,0.8,0.5,0.3,37.1,2.3,29.3,2.4,25.2,1.9,8.4,1.2,968,42
0500000US01077,01077,"Lauderdale County, Alabama",14572,1504,9.9,3.3,21.5,5.6,30.5,5.5,11.0,3.9,17.7,4.8,7.4,3.6,2.0,1.3,122100,7613,12.2,4.2,3.9,2.6,8.3,3.5,0.0,1.0,87.8,4.2,2.1,2.1,10.6,5.1,5.3,2.6,14.4,4.9,31.1,6.5,14.0,4.6,15.1,4.7,7.5,3.6,61951,5779,47.7,6.6,23.1,5.6,10.7,3.9,18.4,5.4,0.0,1.0,0.0,1.0,0.0,1.0,0.9,0.8,3.8,2.0,3.2,2.2,8.1,3.7,12.1,4.6,11.2,4.7,10.5,4.4,21.6,5.4,11.7,4.0,11.2,4.3,5.8,3.3,1003,69,7.9,4.1,0.0,1.0,0.4,0.5,7.5,4.0,10.0,4.5,0.0,0.1,2.2,1.9,7.7,4.2,14.4,4.9,5.3,3.1,7.2,3.1,1.9,2.5,31.1,6.5,16.3,5.1,12.6,5.0,2.1,1.3,36.6,5.8,29.5,5.7,7.1,3.5,0.0,1.0,0.0,1.0,57.0,6.0,21.0,4.6,6.4,2.9,15.6,4.6,620,66
0500000US01081,01081,"Lee County, Alabama",21745,1890,5.6,2.8,15.7,4.5,29.5,5.1,19.9,4.7,15.2,4.0,9.4,2.9,4.6,2.2,148700,11151,11.2,3.2,4.0,2.1,7.2,2.6,1.3,1.7,87.5,3.4,3.9,2.3,5.2,2.8,7.1,3.3,14.1,3.7,16.7,4.5,17.8,4.0,24.1,5.3,11.1,3.5,80465,10859,50.9,5.5,20.0,4.6,13.9,3.6,14.4,3.5,0.8,1.1,0.0,0.7,0.3,0.5,0.8,0.8,1.6,1.3,6.1,3.2,4.0,2.2,6.1,3.1,8.4,3.2,11.8,3.9,20.9,4.2,14.4,4.1,14.6,4.6,11.0,3.7,1130,61,4.8,2.1,0.0,0.7,0.5,0.6,4.3,2.0,10.6,3.8,0.5,0.8,2.9,2.4,7.2,2.8,14.1,3.7,2.2,1.7,5.7,2.7,6.2,2.6,16.7,4.5,7.2,3.0,7.3,3.1,2.2,1.6,53.1,5.7,44.4,5.4,8.1,2.8,0.6,0.7,0.8,1.1,45.0,5.6,32.3,5.3,16.0,4.5,6.8,2.7,818,58
