GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC01_EST_VC31,HC01_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC01_EST_VC38,HC01_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC01_EST_VC51,HC01_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC01_EST_VC63,HC01_MOE_VC63,HC01_EST_VC64,HC01_MOE_VC64,HC01_EST_VC65,HC01_MOE_VC65,HC01_EST_VC66,HC01_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC01_EST_VC68,HC01_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC01_EST_VC71,HC01_MOE_VC71,HC01_EST_VC74,HC01_MOE_VC74,HC01_EST_VC75,HC01_MOE_VC75,HC01_EST_VC76,HC01_MOE_VC76,HC01_EST_VC77,HC01_MOE_VC77,HC01_EST_VC78,HC01_MOE_VC78
0500000US01003,01003,"Baldwin County, Alabama",30606,2543,2.4,1.1,11.9,3.1,62.7,4.2,13.9,3.4,5.5,2.3,1.8,1.4,1.7,1.2,184600,12526,14.7,3.5,4.6,2.5,10.1,2.8,0.0,0.5,85.3,3.5,2.1,1.5,6.8,2.7,7.9,3.2,13.8,3.0,20.3,3.3,15.6,3.2,18.7,4.4,14.9,3.1,72280,9245,33.4,4.2,27.6,4.4,13.2,3.1,24.7,3.7,1.2,1.2,0.0,0.5,0.5,0.5,6.0,2.7,8.9,2.9,15.1,3.4,35.8,4.8,19.9,4.1,6.2,2.4,4.0,2.2,3.7,1.5,1277,64,5.8,2.8,0.0,0.5,0.0,0.5,5.8,2.8,9.8,3.4,0.2,0.3,3.5,2.1,6.2,2.8,13.8,3.0,2.3,1.7,7.0,2.7,4.6,2.1,20.3,3.3,5.0,2.0,8.5,2.5,6.8,2.2,49.2,4.4,38.8,4.6,8.3,2.7,2.1,1.3,1.2,1.2,57.6,5.0,18.7,3.3,13.0,3.5,10.6,3.1,582,52
0500000US01015,01015,"Calhoun County, Alabama",14583,1655,7.7,4.0,25.6,5.8,58.9,6.4,6.9,3.1,0.9,1.0,0.0,1.0,0.1,0.2,124200,14846,9.6,3.7,1.9,1.7,7.8,3.4,0.3,0.4,90.0,3.7,0.8,0.8,8.2,3.1,6.1,2.5,11.3,3.8,29.1,6.3,17.7,5.1,21.5,5.5,5.4,2.9,66418,5833,51.5,6.9,23.7,6.0,10.3,4.0,14.5,4.4,0.0,1.0,0.0,1.0,0.3,0.5,13.3,4.5,17.8,5.5,18.2,5.8,35.8,6.5,8.6,3.6,4.3,2.2,1.1,1.2,0.6,1.0,1005,74,6.3,3.0,0.0,1.0,0.2,0.4,6.0,3.0,8.8,2.9,0.5,0.6,1.8,1.4,6.4,2.5,11.3,3.8,2.4,1.8,6.0,2.8,2.9,1.8,29.1,6.3,16.0,5.7,8.5,3.9,4.6,3.1,44.6,6.3,39.2,6.3,4.2,2.3,1.1,1.3,0.0,1.0,56.7,6.0,21.1,6.0,5.5,2.6,16.7,5.8,556,85
0500000US01043,01043,"Cullman County, Alabama",11633,1197,9.9,3.8,22.8,6.6,54.0,6.9,8.1,3.2,4.7,3.5,0.4,0.7,0.1,0.2,125200,10608,11.6,4.5,3.8,3.0,7.8,3.4,1.6,2.4,86.8,4.8,4.8,3.1,9.6,3.9,6.4,2.6,23.0,6.5,24.7,7.3,13.3,4.9,10.6,3.8,7.6,4.0,53850,13246,38.0,7.5,26.2,7.1,15.6,5.5,17.5,5.8,2.7,2.1,0.0,1.3,2.4,2.1,10.5,4.6,19.4,5.3,15.8,5.1,29.9,6.6,13.2,5.2,3.2,1.7,3.5,2.7,2.1,2.5,1023,76,10.3,4.1,0.0,1.3,0.5,0.6,9.8,4.0,7.8,3.1,0.0,1.3,2.6,1.7,5.2,2.3,23.0,6.5,5.4,3.4,8.2,3.7,9.3,4.4,24.7,7.3,9.3,4.3,12.1,5.2,3.3,2.6,31.5,6.8,23.9,5.9,4.6,2.2,3.1,2.7,2.7,2.1,73.2,5.9,11.8,4.7,5.4,3.5,9.6,3.8,401,62
0500000US01049,01049,"DeKalb County, Alabama",7682,1189,7.7,3.3,37.5,9.3,44.9,8.7,7.2,4.5,1.7,1.4,0.3,0.5,0.7,0.9,106200,10248,4.0,2.4,0.9,0.8,3.1,2.2,0.4,0.7,95.6,2.5,8.0,5.5,9.9,4.3,8.8,4.6,21.7,7.6,26.2,7.3,13.6,5.2,8.1,3.1,3.7,2.2,53290,9280,46.1,7.2,22.4,6.3,12.4,5.9,15.6,4.8,3.5,4.0,0.0,2.0,1.3,1.6,16.8,6.4,26.5,8.4,21.6,7.3,22.1,6.1,6.6,3.4,1.9,1.6,1.1,1.3,2.1,1.4,837,54,9.5,4.6,0.0,2.0,0.0,2.0,9.5,4.6,13.8,5.5,0.5,0.6,10.0,5.2,3.3,2.9,21.7,7.6,4.5,3.2,12.7,7.0,4.5,3.2,26.2,7.3,18.1,7.1,6.6,3.4,1.5,1.4,25.4,6.8,21.3,6.7,3.5,2.7,0.7,0.6,3.5,4.0,67.8,9.5,11.2,4.2,3.2,1.9,17.9,8.4,387,49
0500000US01051,01051,"Elmore County, Alabama",13055,1544,5.1,3.2,13.0,4.4,67.5,6.3,11.1,5.0,1.6,1.4,1.0,1.2,0.8,1.2,172000,12739,14.3,4.6,6.5,3.5,7.9,3.3,0.0,1.2,85.7,4.6,1.0,1.0,7.6,3.4,5.1,3.6,12.2,4.3,20.3,5.5,16.3,5.0,24.2,6.4,13.3,4.9,78008,10615,50.3,7.1,20.4,5.5,12.7,4.4,16.3,4.5,0.4,0.7,0.0,1.2,0.3,0.5,3.1,2.7,7.2,3.2,21.4,5.3,36.3,6.8,23.3,5.4,4.8,2.3,3.3,2.7,0.3,0.5,1223,76,5.0,2.9,0.0,1.2,0.0,1.2,5.0,2.9,8.3,4.4,0.0,1.2,2.1,2.4,6.2,3.0,12.2,4.3,1.3,1.4,6.6,3.4,4.3,2.5,20.3,5.5,7.8,3.6,8.2,3.4,4.3,3.0,53.8,6.2,47.1,6.6,6.0,2.8,0.8,0.6,0.4,0.7,72.4,6.2,17.8,5.3,2.5,1.7,7.3,3.0,534,37
0500000US01055,01055,"Etowah County, Alabama",14696,1566,10.9,3.8,30.8,5.7,51.9,5.9,5.6,2.4,0.5,0.6,0.3,0.5,0.0,1.0,112600,7522,6.2,3.0,3.4,2.3,2.7,1.6,0.0,1.0,93.8,3.0,3.1,2.3,12.3,4.0,9.5,2.9,14.3,5.5,27.3,5.5,16.7,4.5,12.5,3.5,4.3,2.3,59545,7096,51.2,6.5,14.7,3.8,13.5,4.0,19.2,4.6,1.4,1.8,0.2,0.3,1.0,1.1,10.7,3.6,18.8,5.1,21.7,5.3,32.9,6.0,9.6,3.7,4.0,2.7,0.7,0.8,0.4,0.6,977,59,10.8,4.1,0.0,1.0,0.5,0.8,10.3,3.9,12.7,3.4,0.7,0.7,2.5,1.5,9.5,3.1,14.3,5.5,4.2,2.4,5.5,2.8,4.7,3.4,27.3,5.5,13.5,3.9,11.2,4.3,2.6,1.7,33.5,5.5,29.8,5.1,3.1,1.8,0.5,0.4,1.4,1.8,64.7,5.9,18.5,4.6,6.3,2.9,10.5,3.7,478,50
0500000US01069,01069,"Houston County, Alabama",14769,964,6.9,1.4,22.4,2.8,60.1,3.7,6.9,1.4,1.1,0.6,1.9,1.5,0.8,0.7,140800,4673,9.6,2.1,2.3,0.8,7.3,1.9,0.5,0.4,89.9,2.1,2.6,1.1,9.0,1.9,7.5,1.9,18.4,3.4,22.2,3.1,14.5,2.4,14.5,2.5,11.2,2.9,62819,4424,47.8,3.5,23.4,3.1,10.0,2.2,18.1,3.3,0.6,0.6,0.0,1.0,1.4,0.6,7.8,1.7,18.4,2.6,22.8,3.2,28.9,3.5,13.1,2.7,4.7,2.1,1.2,1.0,1.7,1.0,996,41,7.7,1.6,0.0,1.0,0.3,0.3,7.3,1.6,10.8,2.0,0.7,0.5,3.9,1.4,6.3,1.3,18.4,3.4,3.0,1.0,8.8,2.8,6.6,2.5,22.2,3.1,11.2,2.0,8.7,1.9,2.3,1.6,40.3,4.0,34.0,3.9,5.9,1.8,0.4,0.3,0.6,0.6,62.6,3.4,14.7,2.8,6.6,2.5,16.1,2.6,471,36
0500000US01073,01073,"Jefferson County, Alabama",107646,4127,4.2,0.8,20.7,1.8,55.2,2.2,12.7,1.5,5.2,1.0,1.0,0.3,1.0,0.4,168200,5652,15.5,1.9,3.8,1.0,11.6,1.6,0.7,0.3,83.8,1.9,2.5,0.7,9.4,1.6,7.2,1.4,9.5,1.3,20.4,1.8,15.9,1.6,19.2,2.2,15.9,1.7,75871,2301,40.0,2.4,28.5,2.2,12.3,1.7,18.6,2.3,0.6,0.4,0.0,0.1,0.4,0.2,4.0,0.8,10.5,1.6,13.7,1.4,34.2,2.3,20.9,2.2,7.9,1.2,4.0,1.0,4.3,0.9,1279,41,7.3,1.3,0.0,0.1,0.1,0.2,7.2,1.3,11.0,1.5,0.2,0.2,1.4,0.4,9.4,1.5,9.5,1.3,1.5,0.5,3.1,0.8,4.9,1.0,20.4,1.8,7.3,1.2,9.1,1.3,4.1,1.1,51.1,2.7,38.2,2.5,10.9,1.6,2.1,0.7,0.6,0.4,34.2,2.1,26.9,1.9,28.7,2.1,10.2,1.5,1060,56
0500000US01077,01077,"Lauderdale County, Alabama",13850,1521,8.8,3.8,23.9,5.2,59.1,6.0,6.2,4.0,0.7,0.9,1.3,1.1,0.0,1.1,138400,9591,18.9,4.7,2.4,2.0,16.5,4.3,0.3,0.5,80.8,4.7,1.5,1.4,7.9,3.3,11.2,4.2,17.3,5.1,22.5,5.8,16.7,5.2,11.2,3.6,11.8,5.0,62297,7479,52.5,6.4,21.7,6.0,7.2,3.0,18.6,6.0,0.0,1.1,0.0,1.1,1.1,1.4,5.4,3.0,16.7,5.4,28.0,6.2,27.8,6.7,12.2,4.9,2.4,1.6,1.5,1.3,4.9,4.2,987,85,6.3,2.7,0.0,1.1,0.3,0.4,6.0,2.7,14.3,4.8,2.3,2.3,2.9,2.3,9.0,3.6,17.3,5.1,1.2,0.9,8.9,3.4,7.2,4.3,22.5,5.8,17.1,5.1,4.9,2.8,0.5,0.6,39.6,6.9,32.0,7.1,5.5,3.2,2.2,2.3,0.0,1.1,61.9,6.5,21.2,5.0,5.2,2.7,11.7,4.7,569,53
0500000US01081,01081,"Lee County, Alabama",22522,2206,4.5,2.2,11.8,3.9,64.2,5.0,15.7,4.1,2.8,1.7,0.3,0.5,0.6,0.9,181300,17599,10.4,2.6,3.0,1.6,7.3,2.2,0.0,0.7,89.6,2.6,2.4,1.9,7.3,2.7,3.6,2.3,12.1,3.6,19.9,4.3,20.4,5.5,17.9,4.2,16.4,4.9,78460,3331,42.4,5.6,26.0,4.2,12.7,3.9,17.7,3.9,1.1,1.5,0.0,0.7,0.4,0.4,3.1,1.8,13.7,4.4,17.5,4.3,31.1,4.8,17.8,4.6,12.5,4.1,1.1,1.1,2.7,1.5,1212,78,7.0,2.5,0.0,0.7,0.0,0.7,7.0,2.5,5.3,2.6,0.2,0.3,1.1,1.1,4.0,2.5,12.1,3.6,1.3,1.0,4.8,2.6,6.0,2.6,19.9,4.3,6.3,2.6,11.6,3.6,1.9,1.6,54.6,5.3,44.4,5.3,8.8,3.1,1.4,1.2,1.1,1.5,35.2,5.2,39.3,5.7,19.4,4.6,6.1,2.1,954,64
