GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC02_EST_VC44,HC02_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC02_EST_VC45,HC02_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC02_EST_VC48,HC02_MOE_VC48,HC01_EST_VC51,HC01_MOE_VC51,HC02_EST_VC51,HC02_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC02_EST_VC55,HC02_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC02_EST_VC56,HC02_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC02_EST_VC57,HC02_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC02_EST_VC58,HC02_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC02_EST_VC59,HC02_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC02_EST_VC60,HC02_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC02_EST_VC61,HC02_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC02_EST_VC62,HC02_MOE_VC62,HC01_EST_VC63,HC01_MOE_VC63,HC02_EST_VC63,HC02_MOE_VC63,HC01_EST_VC64,HC01_MOE_VC64,HC02_EST_VC64,HC02_MOE_VC64,HC01_EST_VC65,HC01_MOE_VC65,HC02_EST_VC65,HC02_MOE_VC65,HC01_EST_VC66,HC01_MOE_VC66,HC02_EST_VC66,HC02_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC02_EST_VC67,HC02_MOE_VC67,HC01_EST_VC68,HC01_MOE_VC68,HC02_EST_VC68,HC02_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC02_EST_VC69,HC02_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC02_EST_VC70,HC02_MOE_VC70,HC01_EST_VC71,HC01_MOE_VC71,HC02_EST_VC71,HC02_MOE_VC71,HC01_EST_VC74,HC01_MOE_VC74,HC02_EST_VC74,HC02_MOE_VC74,HC01_EST_VC75,HC01_MOE_VC75,HC02_EST_VC75,HC02_MOE_VC75,HC01_EST_VC76,HC01_MOE_VC76,HC02_EST_VC76,HC02_MOE_VC76,HC01_EST_VC77,HC01_MOE_VC77,HC02_EST_VC77,HC02_MOE_VC77,HC01_EST_VC78,HC01_MOE_VC78,HC02_EST_VC78,HC02_MOE_VC78
0500000US01003,01003,"Baldwin County, Alabama",33644,3096,33644,3096,924,370,2.7,1.1,2589,893,7.7,2.5,21777,2425,64.7,3.9,6247,1472,18.6,4.1,1613,708,4.8,2.0,239,169,0.7,0.5,255,243,0.8,0.7,205200,14484,205200,14484,4787,1236,14.2,3.6,1757,963,5.2,2.8,3030,834,9.0,2.6,0,200,0.0,0.5,28857,3066,85.8,3.6,752,426,2.2,1.3,1536,745,4.6,2.2,2072,962,6.2,2.8,4399,1200,13.1,3.2,5966,1249,17.7,3.8,6465,1518,19.2,4.0,7597,1589,22.6,3.9,4857,842,14.4,2.5,81714,3822,81714,3822,11932,1990,35.5,4.5,8428,1548,25.1,4.5,5463,1310,16.2,3.9,7732,1776,23.0,4.3,89,143,0.3,0.4,0,200,0.0,0.5,165,132,0.5,0.4,1412,707,4.2,2.1,3190,1097,9.5,3.2,4126,1032,12.3,3.1,13071,2243,38.9,4.8,6483,1442,19.3,3.9,2851,788,8.5,2.3,1098,569,3.3,1.6,1248,524,3.7,1.6,1268,66,1268,66,1716,739,5.1,2.2,37,60,0.1,0.2,0,200,0.0,0.5,1679,736,5.0,2.2,2555,1046,7.6,3.0,116,141,0.3,0.4,43,73,0.1,0.2,2396,1039,7.1,3.0,4399,1200,13.1,3.2,629,434,1.9,1.3,1281,624,3.8,1.9,2489,1053,7.4,2.9,5966,1249,17.7,3.8,1813,575,5.4,1.8,2775,1072,8.2,3.1,1378,590,4.1,1.8,18919,2448,56.2,4.8,14433,2104,42.9,4.7,3480,1095,10.3,3.0,1006,445,3.0,1.3,89,143,0.3,0.4,19596,2312,58.2,4.9,7008,1568,20.8,4.1,4236,992,12.6,2.9,2804,922,8.3,2.5,616,66,616,66
0500000US01015,01015,"Calhoun County, Alabama",16753,1739,16753,1739,1668,764,10.0,4.3,3113,769,18.6,4.6,9962,1648,59.5,6.8,1618,634,9.7,3.8,310,344,1.9,2.0,24,42,0.1,0.2,58,98,0.3,0.6,133800,12716,133800,12716,1611,725,9.6,4.2,604,504,3.6,2.9,1007,498,6.0,2.9,0,200,0.0,1.0,15142,1698,90.4,4.2,388,258,2.3,1.5,1412,766,8.4,4.2,1816,617,10.8,3.6,2140,768,12.8,4.6,3123,874,18.6,4.9,2876,940,17.2,5.1,3388,917,20.2,5.5,1610,752,9.6,4.3,70718,10050,70718,10050,7861,1406,46.9,6.0,4346,1080,25.9,6.3,1479,604,8.8,3.6,3026,1004,18.1,5.6,41,72,0.2,0.4,0,200,0.0,1.0,314,201,1.9,1.2,1084,514,6.5,3.0,3016,742,18.0,4.3,4104,1048,24.5,5.5,4945,1109,29.5,5.9,2109,781,12.6,4.5,489,386,2.9,2.3,379,402,2.3,2.4,313,344,1.9,2.0,993,65,993,65,1283,692,7.7,3.8,0,200,0.0,1.0,0,200,0.0,1.0,1283,692,7.7,3.8,2292,704,13.7,4.0,310,223,1.9,1.3,727,358,4.3,2.2,1255,587,7.5,3.4,2140,768,12.8,4.6,295,190,1.8,1.2,1098,616,6.6,3.7,747,530,4.5,3.2,3123,874,18.6,4.9,1308,491,7.8,2.9,1568,674,9.4,3.9,247,194,1.5,1.2,7874,1345,47.0,6.3,6984,1211,41.7,5.9,555,337,3.3,2.0,335,371,2.0,2.2,41,72,0.2,0.4,9834,1427,58.7,6.3,3815,975,22.8,5.5,1127,633,6.7,3.7,1977,703,11.8,3.9,553,57,553,57
0500000US01043,01043,"Cullman County, Alabama",11481,1480,11481,1480,901,460,7.8,3.9,3136,892,27.3,7.0,6175,1113,53.8,7.6,822,464,7.2,3.7,299,214,2.6,1.9,104,130,0.9,1.1,44,72,0.4,0.6,128600,18185,128600,18185,859,361,7.5,3.1,310,190,2.7,1.6,549,299,4.8,2.6,10,16,0.1,0.1,10612,1458,92.4,3.1,591,371,5.1,3.0,931,325,8.1,2.8,833,461,7.3,4.0,1699,675,14.8,5.5,2428,733,21.1,6.1,2367,736,20.6,5.7,1809,556,15.8,4.6,823,372,7.2,2.9,64212,7833,64212,7833,5684,1069,49.5,6.7,2664,769,23.2,5.7,1408,545,12.3,4.7,1700,500,14.8,4.0,25,44,0.2,0.4,0,200,0.0,1.4,123,128,1.1,1.1,1298,681,11.3,5.4,2111,749,18.4,6.0,2756,666,24.0,5.3,2932,707,25.5,5.6,1764,595,15.4,4.7,191,156,1.7,1.4,114,113,1.0,1.0,192,179,1.7,1.6,944,69,944,69,756,409,6.6,3.3,0,200,0.0,1.4,41,51,0.4,0.4,715,403,6.2,3.2,1574,527,13.7,4.6,43,53,0.4,0.5,382,277,3.3,2.4,1149,482,10.0,4.2,1699,675,14.8,5.5,506,479,4.4,4.1,1023,489,8.9,4.2,170,144,1.5,1.2,2428,733,21.1,6.1,1231,476,10.7,4.0,946,421,8.2,3.6,251,189,2.2,1.6,4999,985,43.5,6.1,4188,943,36.5,6.1,729,334,6.3,2.9,82,79,0.7,0.7,25,44,0.2,0.4,8220,1196,71.6,5.4,979,434,8.5,3.5,509,311,4.4,2.6,1773,516,15.4,4.1,355,31,355,31
0500000US01049,01049,"DeKalb County, Alabama",8387,1277,8387,1277,887,496,10.6,5.6,1820,661,21.7,6.7,5019,1001,59.8,8.9,441,281,5.3,3.2,180,225,2.1,2.6,12,20,0.1,0.2,28,46,0.3,0.6,139900,11430,139900,11430,575,319,6.9,3.7,81,92,1.0,1.1,494,315,5.9,3.7,0,200,0.0,1.9,7812,1228,93.1,3.7,203,122,2.4,1.4,557,344,6.6,3.8,764,345,9.1,4.1,999,390,11.9,4.4,1635,658,19.5,7.2,1669,666,19.9,7.2,2128,770,25.4,8.5,432,284,5.2,3.3,75924,16038,75924,16038,3455,877,41.2,8.3,2939,941,35.0,9.5,1079,431,12.9,5.0,887,369,10.6,4.2,27,43,0.3,0.5,0,200,0.0,1.9,155,181,1.8,2.1,1011,440,12.1,4.9,1290,521,15.4,6.4,2317,852,27.6,8.0,2053,643,24.5,7.4,1218,682,14.5,7.9,209,139,2.5,1.7,134,214,1.6,2.5,0,200,0.0,1.9,949,59,949,59,701,363,8.4,4.0,0,200,0.0,1.9,0,200,0.0,1.9,701,363,8.4,4.0,796,343,9.5,4.0,122,142,1.5,1.7,284,182,3.4,2.2,390,249,4.7,2.9,999,390,11.9,4.4,349,268,4.2,3.1,517,284,6.2,3.4,133,129,1.6,1.5,1635,658,19.5,7.2,891,576,10.6,6.6,504,318,6.0,3.8,240,260,2.9,3.1,4229,960,50.4,8.2,3915,952,46.7,8.4,314,214,3.7,2.6,0,200,0.0,1.9,27,43,0.3,0.5,6623,1161,79.0,5.8,848,407,10.1,4.7,307,263,3.7,3.0,609,315,7.3,3.9,391,72,391,72
0500000US01051,01051,"Elmore County, Alabama",13817,1554,13817,1554,368,278,2.7,2.0,1834,780,13.3,5.2,8691,1335,62.9,7.0,2010,642,14.5,4.5,818,527,5.9,3.7,96,157,0.7,1.1,0,200,0.0,1.2,168500,12286,168500,12286,1425,693,10.3,4.9,741,586,5.4,4.2,684,366,5.0,2.6,52,93,0.4,0.7,12340,1577,89.3,5.0,291,217,2.1,1.5,634,400,4.6,2.9,430,333,3.1,2.5,814,347,5.9,2.6,3697,1102,26.8,7.2,2704,846,19.6,5.7,3902,990,28.2,6.2,1345,554,9.7,3.8,84424,8415,84424,8415,6175,1356,44.7,7.2,3232,767,23.4,5.2,1795,726,13.0,5.1,2615,724,18.9,5.2,0,200,0.0,1.2,0,200,0.0,1.2,94,147,0.7,1.1,760,432,5.5,3.1,1491,522,10.8,3.7,1946,656,14.1,4.4,5340,1001,38.6,5.9,2322,778,16.8,5.3,1081,521,7.8,3.7,718,546,5.2,3.9,65,110,0.5,0.8,1174,51,1174,51,706,390,5.1,2.8,0,200,0.0,1.2,94,147,0.7,1.1,612,348,4.4,2.5,649,468,4.7,3.4,0,200,0.0,1.2,343,353,2.5,2.5,306,305,2.2,2.2,814,347,5.9,2.6,157,154,1.1,1.1,162,171,1.2,1.2,495,291,3.6,2.2,3697,1102,26.8,7.2,1526,707,11.0,4.9,1726,764,12.5,5.4,445,401,3.2,2.9,7951,1384,57.5,7.1,6003,1256,43.4,7.0,1731,692,12.5,5.0,217,333,1.6,2.4,0,200,0.0,1.2,9060,1418,65.6,7.6,2379,839,17.2,5.6,952,628,6.9,4.4,1426,682,10.3,4.9,536,60,536,60
0500000US01055,01055,"Etowah County, Alabama",12285,1478,12285,1478,1703,716,13.9,5.3,2271,691,18.5,5.3,7393,1162,60.2,6.9,639,317,5.2,2.6,65,111,0.5,0.9,176,220,1.4,1.8,38,64,0.3,0.5,148700,14769,148700,14769,1555,570,12.7,4.4,698,400,5.7,3.1,857,404,7.0,3.2,0,200,0.0,1.3,10730,1380,87.3,4.4,227,186,1.8,1.5,1008,431,8.2,3.4,598,337,4.9,2.7,1352,550,11.0,4.1,2809,725,22.9,5.1,2520,774,20.5,5.8,2351,710,19.1,5.8,1420,659,11.6,5.0,75744,7865,75744,7865,6927,1234,56.4,6.6,2376,700,19.3,5.5,1259,508,10.2,3.9,1723,546,14.0,4.3,0,200,0.0,1.3,0,200,0.0,1.3,90,97,0.7,0.8,1204,508,9.8,4.0,1671,665,13.6,4.9,2864,804,23.3,5.9,3913,873,31.9,6.8,1472,499,12.0,3.8,581,327,4.7,2.5,66,111,0.5,0.9,424,320,3.5,2.5,1032,85,1032,85,1028,425,8.4,3.4,0,200,0.0,1.3,102,166,0.8,1.3,926,394,7.5,3.2,805,404,6.6,3.2,0,200,0.0,1.3,292,272,2.4,2.2,513,304,4.2,2.5,1352,550,11.0,4.1,419,270,3.4,2.1,571,341,4.6,2.7,362,321,2.9,2.6,2809,725,22.9,5.1,1131,487,9.2,3.8,1190,488,9.7,3.8,488,287,4.0,2.2,6291,1123,51.2,6.8,5363,1123,43.7,7.5,762,431,6.2,3.4,166,209,1.4,1.7,0,200,0.0,1.3,8000,1157,65.1,6.8,1967,728,16.0,5.4,879,440,7.2,3.3,1439,534,11.7,4.1,591,73,591,73
0500000US01069,01069,"Houston County, Alabama",15596,882,15596,882,1045,298,6.7,1.9,3320,418,21.3,2.8,9415,915,60.4,3.7,1323,299,8.5,1.9,330,230,2.1,1.5,90,54,0.6,0.4,73,60,0.5,0.4,151900,8518,151900,8518,1894,411,12.1,2.6,477,205,3.1,1.3,1417,376,9.1,2.4,43,38,0.3,0.2,13659,904,87.6,2.6,408,152,2.6,1.0,1186,256,7.6,1.5,1031,297,6.6,1.8,2434,495,15.6,3.1,3177,522,20.4,3.3,2420,574,15.5,3.4,3230,483,20.7,3.0,1710,393,11.0,2.4,71647,2736,71647,2736,7090,604,45.5,3.7,4056,644,26.0,3.5,1805,434,11.6,2.7,2604,434,16.7,2.6,41,38,0.3,0.2,0,200,0.0,1.1,134,73,0.9,0.5,1073,249,6.9,1.6,2451,383,15.7,2.4,2982,426,19.1,2.7,5388,780,34.5,4.3,1825,341,11.7,2.2,1222,501,7.8,3.1,196,103,1.3,0.7,325,177,2.1,1.1,1080,33,1080,33,971,255,6.2,1.6,0,200,0.0,1.1,0,200,0.0,1.1,971,255,6.2,1.6,1613,360,10.3,2.1,42,35,0.3,0.2,327,166,2.1,1.0,1244,290,8.0,1.7,2434,495,15.6,3.1,420,165,2.7,1.1,1022,273,6.6,1.7,992,410,6.4,2.6,3177,522,20.4,3.3,1573,327,10.1,2.2,1328,396,8.5,2.5,276,109,1.8,0.7,7360,798,47.2,4.0,6141,763,39.4,4.3,1154,475,7.4,3.0,65,59,0.4,0.4,41,38,0.3,0.2,9455,754,60.6,3.9,2920,613,18.7,3.6,1114,377,7.1,2.4,2107,376,13.5,2.3,532,39,532,39
0500000US01073,01073,"Jefferson County, Alabama",101448,3861,101448,3861,3042,824,3.0,0.8,20829,1761,20.5,1.6,52833,3216,52.1,2.2,15883,1927,15.7,1.9,5797,1044,5.7,1.0,1679,579,1.7,0.6,1385,470,1.4,0.5,180400,7720,180400,7720,15033,1746,14.8,1.7,3040,778,3.0,0.8,11993,1587,11.8,1.5,287,184,0.3,0.2,86128,3810,84.9,1.7,2817,854,2.8,0.8,7816,1304,7.7,1.3,5930,1277,5.8,1.2,12000,1611,11.8,1.4,18691,1962,18.4,1.8,14229,1911,14.0,1.8,19931,2010,19.6,2.0,20034,1833,19.7,1.8,79969,3323,79969,3323,43499,2693,42.9,2.3,25929,2378,25.6,2.1,12048,1719,11.9,1.6,19457,2208,19.2,2.0,515,330,0.5,0.3,50,81,0.0,0.1,604,302,0.6,0.3,2949,733,2.9,0.7,13606,1857,13.4,1.7,15667,2011,15.4,1.8,36174,2645,35.7,2.4,16253,1778,16.0,1.7,7553,1411,7.4,1.3,4177,1015,4.1,1.0,4415,1026,4.4,1.0,1236,33,1236,33,7372,1216,7.3,1.1,50,81,0.0,0.1,75,120,0.1,0.1,7247,1209,7.1,1.1,8676,1445,8.6,1.4,173,147,0.2,0.1,1256,502,1.2,0.5,7247,1327,7.1,1.3,12000,1611,11.8,1.4,1893,669,1.9,0.7,5367,1261,5.3,1.2,4740,972,4.7,0.9,18691,1962,18.4,1.8,7121,1424,7.0,1.3,7660,1259,7.6,1.2,3910,1200,3.9,1.2,54194,2942,53.4,2.6,44200,2943,43.6,2.6,8681,1384,8.6,1.4,1313,472,1.3,0.5,515,330,0.5,0.3,30544,2781,30.1,2.3,28508,2514,28.1,2.3,31384,2455,30.9,2.2,11012,1544,10.9,1.5,1103,66,1103,66
0500000US01077,01077,"Lauderdale County, Alabama",13554,1493,13554,1493,690,377,5.1,2.8,3514,954,25.9,6.3,7517,1273,55.5,7.4,1375,600,10.1,4.3,159,145,1.2,1.1,58,98,0.4,0.7,241,191,1.8,1.4,147700,17182,147700,17182,2170,593,16.0,4.1,292,293,2.2,2.1,1878,590,13.9,4.2,46,76,0.3,0.6,11338,1391,83.7,4.1,216,196,1.6,1.4,828,460,6.1,3.5,1578,736,11.6,5.6,1340,547,9.9,3.7,3709,1332,27.4,8.2,2621,770,19.3,5.3,2071,612,15.3,4.7,1191,455,8.8,3.5,70379,6039,70379,6039,6565,1111,48.4,5.9,2757,732,20.3,5.2,1816,616,13.4,4.5,2334,769,17.2,5.1,82,139,0.6,1.0,0,200,0.0,1.2,186,187,1.4,1.3,1318,587,9.7,4.0,2231,755,16.5,5.7,3187,1065,23.5,7.0,3938,937,29.1,6.4,1483,605,10.9,4.3,608,387,4.5,2.8,456,293,3.4,2.2,147,179,1.1,1.3,992,77,992,77,582,381,4.3,2.8,0,200,0.0,1.2,0,200,0.0,1.2,582,381,4.3,2.8,1958,728,14.4,5.6,136,135,1.0,1.0,827,555,6.1,4.2,995,442,7.3,3.3,1340,547,9.9,3.7,214,186,1.6,1.4,723,415,5.3,2.9,403,357,3.0,2.6,3709,1332,27.4,8.2,2114,957,15.6,6.2,780,495,5.8,3.5,815,595,6.0,4.3,5883,935,43.4,6.8,4906,837,36.2,6.0,774,455,5.7,3.4,203,213,1.5,1.6,82,139,0.6,1.0,8310,1311,61.3,7.1,2151,737,15.9,5.4,1346,608,9.9,4.3,1747,592,12.9,3.9,612,73,612,73
0500000US01081,01081,"Lee County, Alabama",22452,2111,22452,2111,1653,811,7.4,3.4,3031,1111,13.5,4.6,13087,1333,58.3,5.0,3271,1089,14.6,4.5,1090,527,4.9,2.3,247,213,1.1,0.9,73,127,0.3,0.6,170200,14947,170200,14947,2586,723,11.5,3.0,374,318,1.7,1.4,2212,636,9.9,2.7,0,200,0.0,0.7,19866,1986,88.5,3.0,537,459,2.4,2.0,1279,618,5.7,2.7,1353,846,6.0,3.6,1815,689,8.1,3.0,5375,1035,23.9,4.6,3929,1061,17.5,4.1,4615,1072,20.6,4.3,3549,945,15.8,4.1,80280,7367,80280,7367,9959,1699,44.4,6.3,5823,1168,25.9,5.0,3377,1196,15.0,4.8,3215,1167,14.3,5.2,78,138,0.3,0.6,0,200,0.0,0.7,234,251,1.0,1.1,1202,530,5.4,2.3,3206,1080,14.3,4.4,3287,878,14.6,3.9,7495,1421,33.4,5.5,3902,989,17.4,4.0,1796,673,8.0,2.9,710,435,3.2,1.9,620,364,2.8,1.6,1172,54,1172,54,1033,561,4.6,2.5,0,200,0.0,0.7,0,200,0.0,0.7,1033,561,4.6,2.5,2058,995,9.2,4.2,51,92,0.2,0.4,196,149,0.9,0.7,1811,996,8.1,4.2,1815,689,8.1,3.0,306,449,1.4,2.0,769,445,3.4,2.0,740,340,3.3,1.5,5375,1035,23.9,4.6,2424,841,10.8,3.7,2339,645,10.4,2.9,612,391,2.7,1.8,12093,1898,53.9,6.2,10204,1798,45.4,6.4,1559,619,6.9,2.6,330,253,1.5,1.2,78,138,0.3,0.6,8973,1563,40.0,5.9,7446,1509,33.2,6.0,4168,1041,18.6,4.4,1865,827,8.3,3.5,870,65,870,65
