GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC01_EST_VC24,HC01_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC01_EST_VC31,HC01_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC01_EST_VC45,HC01_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC01_EST_VC63,HC01_MOE_VC63,HC01_EST_VC64,HC01_MOE_VC64,HC01_EST_VC65,HC01_MOE_VC65,HC01_EST_VC68,HC01_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC01_EST_VC71,HC01_MOE_VC71,HC01_EST_VC72,HC01_MOE_VC72,HC01_EST_VC75,HC01_MOE_VC75
0500000US01003,01003,"Baldwin County, Alabama",19866,1837,22.8,5.0,12.3,3.6,14.2,3.3,16.4,4.8,16.9,3.8,12.1,3.6,5.2,2.3,151700,18983,6.9,2.7,24.8,5.7,10.1,3.5,19.7,5.6,22.0,5.1,7.2,3.2,4.5,2.4,4.9,2.2,40580,3046,30.2,5.3,11.2,3.4,10.8,3.3,46.1,5.7,1.7,1.5,4.2,3.0,1.6,1.2,5.5,2.1,7.9,3.4,16.1,5.1,9.4,2.9,8.2,2.8,18.3,4.3,13.2,4.4,5.2,2.0,10.4,3.8,385,34,21.5,5.1,6.6,3.3,3.8,2.0,11.1,3.5,18.5,4.8,13.5,4.5,2.9,1.6,2.1,1.8,19.7,5.6,16.6,4.4,3.1,2.5,0.0,0.9,22.0,5.1,20.6,4.4,1.4,1.9,0.0,0.9,16.5,4.4,16.5,4.4,0.0,0.9,0.0,0.9,1.7,1.5,53.5,6.0,13.9,4.5,7.5,3.1,25.0,4.9,556,68,27.3,
0500000US01015,01015,"Calhoun County, Alabama",13644,1184,41.2,7.1,18.6,5.5,17.4,5.1,10.7,3.0,9.3,3.4,2.9,1.8,0.0,1.3,75000,11446,14.9,5.0,25.9,5.6,11.2,4.2,16.1,5.0,15.8,4.1,7.7,3.8,5.3,2.8,3.1,1.6,32176,6597,54.4,5.8,13.8,4.6,7.4,3.5,22.4,4.9,2.0,1.7,1.2,1.2,2.9,1.8,9.1,2.9,11.7,4.6,16.9,6.1,14.7,4.3,9.2,3.5,18.4,5.3,7.4,3.3,4.2,3.2,4.0,2.9,327,22,33.3,7.0,4.5,2.4,4.5,2.9,24.3,5.9,16.7,4.2,14.8,4.1,1.8,1.4,0.1,0.2,16.1,5.0,16.1,5.0,0.0,1.3,0.0,1.3,15.8,4.1,15.8,4.1,0.0,1.3,0.0,1.3,16.1,4.9,16.1,4.9,0.0,1.3,0.0,1.3,2.0,1.7,52.6,5.9,7.1,2.5,1.7,1.7,38.6,5.8,326,47,35.3,
0500000US01043,01043,"Cullman County, Alabama",9407,1175,36.5,7.5,31.8,7.6,12.8,5.3,10.8,5.0,3.6,2.4,2.7,2.2,1.8,1.8,70900,10267,9.8,5.9,36.4,8.6,14.9,6.3,19.4,6.3,8.0,3.3,5.1,3.5,3.7,2.6,2.5,3.7,27637,6028,46.9,8.6,13.2,4.6,13.4,6.3,24.9,7.6,1.6,2.6,1.2,1.4,5.6,3.6,8.2,3.4,16.9,6.5,14.1,5.8,16.0,5.9,15.2,6.1,13.4,5.4,4.2,3.6,2.6,2.9,2.6,2.1,313,21,30.7,7.8,7.5,4.5,6.3,3.3,16.9,6.6,28.8,7.3,21.5,5.9,7.3,3.9,0.0,1.8,19.4,6.3,18.3,6.3,0.6,1.1,0.4,0.7,8.0,3.3,8.0,3.3,0.0,1.8,0.0,1.8,11.4,5.4,11.4,5.4,0.0,1.8,0.0,1.8,1.6,2.6,61.2,8.7,6.5,3.3,0.9,1.1,31.4,8.4,269,73,24.2,
0500000US01049,01049,"DeKalb County, Alabama",9302,1117,24.6,7.2,37.9,6.9,15.4,4.8,8.8,3.7,7.9,4.9,3.3,2.4,2.0,1.9,74500,7974,7.1,3.9,33.8,7.2,21.4,7.5,12.8,5.7,10.4,4.0,6.1,3.6,4.0,3.5,4.5,3.5,28207,4248,43.4,7.4,16.0,5.2,11.5,4.7,28.8,6.4,0.4,0.5,0.6,1.0,3.8,2.3,14.1,5.3,14.5,4.9,14.8,5.3,15.5,5.5,6.0,3.3,11.5,5.2,11.1,5.4,6.6,5.2,1.5,1.3,307,25,23.7,6.2,7.7,4.5,6.3,3.2,9.8,4.4,38.1,7.8,30.1,7.2,4.8,2.8,3.3,4.5,12.8,5.7,12.2,5.6,0.0,1.8,0.6,0.9,10.4,4.0,10.4,4.0,0.0,1.8,0.0,1.8,14.6,5.3,14.6,5.3,0.0,1.8,0.0,1.8,0.4,0.5,63.9,6.9,5.3,3.3,2.9,2.0,27.8,6.8,267,33,37.9,
0500000US01051,01051,"Elmore County, Alabama",6594,909,26.7,7.4,27.6,7.8,7.3,3.2,14.7,5.4,16.3,5.7,4.9,3.5,2.5,2.6,85900,22000,8.1,4.6,25.8,8.6,14.0,7.4,20.3,8.7,12.6,5.6,6.1,3.4,10.4,5.0,2.6,2.5,36451,7307,41.9,9.2,18.0,6.4,7.4,4.1,31.1,7.7,1.5,1.9,1.0,1.4,2.9,2.9,9.1,4.2,13.9,5.6,11.3,5.6,14.2,5.7,10.1,6.8,15.8,6.6,11.7,5.6,8.6,5.0,1.5,1.8,342,30,25.0,7.5,9.3,5.2,3.0,2.3,12.7,5.7,21.4,8.1,17.5,7.5,2.8,2.9,1.1,2.0,20.3,8.7,20.3,8.7,0.0,2.6,0.0,2.6,12.6,5.6,12.6,5.6,0.0,2.6,0.0,2.6,19.2,5.4,19.2,5.4,0.0,2.6,0.0,2.6,1.5,1.9,67.2,7.7,5.7,4.1,1.7,2.1,25.3,7.5,293,60,29.8,
0500000US01055,01055,"Etowah County, Alabama",13026,1199,34.4,6.1,24.3,5.8,21.9,4.5,11.4,3.6,3.0,1.8,3.4,2.1,1.5,1.3,79600,7785,10.4,3.4,29.3,6.2,17.4,4.0,21.4,5.8,13.8,4.4,3.9,2.4,2.0,1.5,1.8,1.5,30292,3714,39.6,6.4,17.2,4.4,12.8,3.7,27.4,4.5,3.0,2.6,0.8,0.9,4.4,2.5,7.6,3.1,13.5,3.7,17.3,5.1,16.7,3.9,10.8,3.9,16.0,4.3,7.0,3.1,2.5,1.8,3.4,2.3,320,16,25.9,5.1,6.1,2.4,6.9,2.9,12.9,4.4,28.2,5.5,23.0,4.9,3.8,2.3,1.4,1.7,21.4,5.8,20.9,5.5,0.5,1.0,0.0,1.3,13.8,4.4,13.8,4.4,0.0,1.3,0.0,1.3,7.7,3.2,7.7,3.2,0.0,1.3,0.0,1.3,3.0,2.6,61.1,5.3,4.2,2.4,2.4,1.7,32.3,4.9,290,33,31.9,
0500000US01069,01069,"Houston County, Alabama",10165,696,25.6,4.5,30.2,5.1,14.5,2.2,16.7,4.3,7.5,2.7,2.9,1.4,2.6,1.2,91300,7677,10.9,2.6,28.3,5.8,16.0,3.8,13.9,3.4,16.3,3.7,7.3,2.1,5.0,1.9,2.4,1.4,31347,2576,43.3,5.4,16.2,2.7,8.1,2.1,29.7,4.5,2.7,1.5,1.1,0.8,8.3,3.3,13.2,2.8,16.0,3.2,17.5,3.7,11.5,2.8,9.7,2.9,11.7,3.2,5.1,2.4,3.6,2.8,2.3,1.1,283,13,27.8,5.2,11.9,4.0,7.1,2.7,8.8,2.3,24.7,4.6,18.8,4.2,3.8,2.0,2.1,2.5,13.9,3.4,13.6,3.4,0.3,0.3,0.0,1.7,16.3,3.7,16.0,3.5,0.3,0.4,0.0,1.7,14.7,3.0,14.5,3.0,0.1,0.2,0.0,1.7,2.7,1.5,59.6,4.4,5.7,1.8,3.4,1.7,31.4,4.9,308,43,30.3,
0500000US01073,01073,"Jefferson County, Alabama",53192,2554,21.1,2.5,26.1,2.9,16.9,2.0,11.4,1.6,11.2,1.8,7.0,1.8,6.4,1.3,107500,6797,8.0,1.6,26.0,3.1,11.9,2.0,15.4,2.1,15.2,2.3,7.3,1.7,8.6,1.9,7.5,1.9,38463,2188,36.6,3.1,19.8,2.3,10.7,1.8,31.8,2.8,1.1,0.8,0.3,0.3,2.6,0.9,4.4,1.4,8.9,1.9,10.6,1.9,9.5,1.7,12.4,2.0,18.8,2.6,11.2,2.0,7.3,1.5,14.2,2.2,408,15,24.7,3.0,5.0,1.6,6.2,1.5,13.5,2.5,20.1,2.3,12.7,1.9,4.4,1.2,2.9,1.0,15.4,2.1,13.2,1.9,2.0,0.8,0.2,0.3,15.2,2.3,14.8,2.2,0.3,0.3,0.1,0.1,23.5,3.0,22.8,2.9,0.6,0.6,0.1,0.1,1.1,0.8,39.9,3.0,16.6,1.9,18.8,2.2,24.8,2.4,757,44,29.3,
0500000US01077,01077,"Lauderdale County, Alabama",11861,1179,19.1,5.2,26.4,5.4,23.6,6.3,14.0,5.0,7.3,3.5,4.8,3.1,4.8,2.9,106900,9405,7.8,3.1,27.4,6.0,10.9,3.6,15.5,5.3,17.5,5.0,10.9,4.6,7.4,3.9,2.5,1.7,36447,3400,35.9,5.7,15.1,4.4,12.9,4.6,33.7,6.3,2.3,1.9,1.0,1.1,2.8,1.8,6.9,4.2,18.6,5.4,14.7,4.6,15.3,6.2,9.5,3.1,20.6,5.2,3.3,2.4,3.2,2.0,4.3,2.5,320,22,23.4,5.6,5.8,2.9,5.3,2.8,12.2,4.2,20.5,4.6,16.3,4.3,3.2,2.2,1.0,1.2,15.5,5.3,14.2,5.3,0.9,1.2,0.4,0.6,17.5,5.0,16.1,4.6,1.4,2.2,0.0,1.4,20.8,5.7,20.8,5.7,0.0,1.4,0.0,1.4,2.3,1.9,55.3,6.8,11.8,3.8,5.0,2.9,27.9,5.9,399,65,34.6,
0500000US01081,01081,"Lee County, Alabama",13069,1547,32.5,7.8,10.2,3.9,14.8,4.4,13.9,4.0,15.0,4.5,8.9,3.7,4.8,2.6,121200,23909,11.4,4.3,24.6,6.9,10.5,4.2,16.6,5.0,17.9,5.6,7.6,3.9,6.2,2.6,5.3,2.8,37635,6615,43.8,7.4,13.3,4.3,9.3,3.5,33.0,6.6,0.6,0.8,1.0,1.1,1.5,1.4,4.5,2.3,15.0,5.0,10.0,4.4,10.1,3.8,11.7,4.9,21.0,6.0,9.7,3.2,8.2,3.7,7.5,3.9,384,33,26.3,5.6,1.3,1.4,5.9,4.0,19.0,4.6,19.6,5.6,15.2,5.2,0.8,0.7,3.6,3.2,16.6,5.0,15.0,4.6,1.5,1.5,0.0,1.3,17.9,5.6,17.7,5.6,0.1,0.2,0.0,1.3,19.1,5.1,19.1,5.1,0.0,1.3,0.0,1.3,0.6,0.8,38.2,5.8,25.0,5.7,10.1,3.9,26.6,6.7,752,153,25.0,
