GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC13,HC01_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC01_EST_VC24,HC01_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC01_EST_VC31,HC01_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC01_EST_VC45,HC01_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC01_EST_VC63,HC01_MOE_VC63,HC01_EST_VC64,HC01_MOE_VC64,HC01_EST_VC65,HC01_MOE_VC65,HC01_EST_VC68,HC01_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC01_EST_VC70,HC01_MOE_VC70,HC01_EST_VC71,HC01_MOE_VC71,HC01_EST_VC72,HC01_MOE_VC72
0500000US01003,01003,"Baldwin County, Alabama",20333,2117,12.1,3.9,16.9,3.4,19.9,4.5,17.4,4.7,18.0,4.8,8.5,2.9,7.2,2.7,153800,18750,9.2,4.5,22.3,4.6,12.3,3.7,17.4,4.2,17.8,4.0,7.2,3.4,8.1,3.0,5.7,2.6,39194,4282,26.7,5.3,16.5,4.6,8.6,3.0,44.9,5.7,3.4,2.9,0.9,0.7,3.0,1.6,7.5,3.5,15.1,4.4,10.8,3.9,10.8,3.5,10.3,3.2,17.3,4.4,10.7,3.6,9.4,3.9,4.4,1.9,360,25,20.8,4.7,3.7,2.3,6.6,2.4,10.5,3.6,19.6,4.7,14.8,4.3,3.4,1.7,1.5,0.9,17.4,4.2,17.0,4.2,0.5,0.5,0.0,0.7,17.8,4.0,17.1,3.9,0.7,0.9,0.0,0.7,21.0,4.9,21.0,4.9,0.0,0.7,0.0,0.7,3.4,2.9,54.8,5.4,14.7,4.1,5.3,2.5,25.1,4.9,458,75
0500000US01015,01015,"Calhoun County, Alabama",14363,1592,33.9,5.1,24.7,4.7,19.5,5.0,11.6,4.1,6.5,2.5,3.2,2.2,0.6,0.6,81700,10150,13.5,4.0,17.8,4.3,14.5,4.1,13.3,4.0,19.0,4.4,8.1,3.1,11.4,4.7,2.4,1.3,40828,8020,49.5,5.6,18.5,5.0,10.1,3.6,19.7,4.2,2.3,1.3,4.4,3.0,6.2,2.7,9.0,3.3,10.7,3.6,16.0,4.5,18.6,4.8,9.9,3.1,12.4,4.2,6.5,2.8,2.0,1.4,4.3,1.7,310,16,22.6,5.6,6.7,3.4,4.3,2.7,11.6,4.0,21.0,4.1,19.2,3.9,0.9,0.7,0.9,0.9,13.3,4.0,12.7,4.0,0.6,0.8,0.0,1.0,19.0,4.4,19.0,4.4,0.0,1.0,0.0,1.0,21.9,5.2,21.9,5.2,0.0,1.0,0.0,1.0,2.3,1.3,51.1,6.2,5.0,2.7,3.3,1.7,40.6,5.9,372,60
0500000US01043,01043,"Cullman County, Alabama",9811,1288,22.8,6.4,28.9,6.1,12.9,4.0,6.1,2.6,21.1,6.8,2.5,1.8,5.8,2.6,96300,19861,6.5,3.7,24.8,6.3,23.2,6.2,15.1,5.4,11.5,3.8,7.5,3.8,6.3,3.2,5.2,3.6,33497,2384,37.6,7.6,14.5,4.2,9.8,3.5,37.9,7.9,0.2,0.4,0.0,1.5,2.7,1.7,7.7,3.7,11.4,4.7,9.6,3.8,15.4,5.9,14.4,4.7,13.0,4.5,11.7,4.7,4.4,2.5,9.6,5.4,361,22,23.8,6.4,5.2,2.8,6.7,3.6,11.8,4.4,30.5,6.2,20.3,4.9,7.0,4.4,3.1,2.4,15.1,5.4,14.6,5.3,0.5,0.7,0.0,1.5,11.5,3.8,11.5,3.8,0.0,1.5,0.0,1.5,18.9,6.0,18.9,6.0,0.0,1.5,0.0,1.5,0.2,0.4,53.7,7.0,5.2,3.1,6.2,3.3,34.9,6.9,389,45
0500000US01049,01049,"DeKalb County, Alabama",9065,1200,37.3,8.8,26.7,7.2,13.6,4.5,9.3,4.1,5.1,3.2,2.2,2.0,5.7,3.6,69900,17594,11.6,5.7,29.3,6.3,17.3,5.7,6.4,3.6,17.9,5.1,7.3,4.2,7.7,3.9,2.5,1.8,29087,3368,42.5,6.6,15.7,5.7,12.3,4.3,28.4,6.9,1.1,1.3,0.8,1.1,9.0,6.7,6.8,3.2,16.7,6.3,16.4,5.3,15.3,5.7,6.9,3.1,11.4,4.1,6.0,3.5,2.1,2.0,8.6,5.3,301,26,31.2,6.9,9.3,4.6,7.5,3.8,14.4,6.0,25.9,7.4,21.8,6.9,3.3,3.2,0.8,0.9,6.4,3.6,6.4,3.6,0.0,1.6,0.0,1.6,17.9,5.1,16.7,4.8,1.1,2.1,0.0,1.6,17.5,5.2,17.5,5.2,0.0,1.6,0.0,1.6,1.1,1.3,63.7,7.2,2.5,2.1,5.4,3.7,28.3,6.9,251,51
0500000US01051,01051,"Elmore County, Alabama",7730,1052,29.3,8.9,19.8,6.8,14.3,6.6,12.8,5.2,15.4,5.7,2.4,2.2,6.0,3.9,104800,31212,8.8,5.0,24.9,7.1,9.7,4.5,13.2,6.2,17.3,7.0,17.6,7.0,5.6,3.3,2.8,2.8,45000,14381,36.3,8.4,22.2,7.4,13.5,6.3,24.0,7.6,4.0,4.5,0.0,1.9,5.1,3.5,13.0,5.8,15.3,6.1,12.3,5.1,16.2,5.4,17.5,7.5,13.3,6.4,2.1,2.1,3.7,3.7,1.5,1.7,313,27,24.9,6.9,6.9,4.2,9.0,6.3,9.0,4.9,14.5,5.6,14.4,5.6,0.2,0.3,0.0,1.9,13.2,6.2,11.4,5.7,1.7,2.7,0.0,1.9,17.3,7.0,17.3,7.0,0.0,1.9,0.0,1.9,26.1,8.1,26.1,8.1,0.0,1.9,0.0,1.9,4.0,4.5,59.6,7.9,7.7,3.8,2.0,1.7,30.7,8.3,413,66
0500000US01055,01055,"Etowah County, Alabama",13274,1312,32.3,6.1,31.6,6.3,11.1,4.0,10.5,3.2,7.5,2.9,4.5,2.7,2.6,1.6,80800,9196,7.3,3.1,29.8,5.1,6.7,2.6,17.4,4.3,17.6,4.4,6.6,2.3,11.1,4.2,3.5,2.3,39419,3959,44.8,5.6,15.3,4.5,11.9,3.6,27.0,5.2,1.0,1.3,0.2,0.3,3.0,3.4,7.3,2.5,11.8,3.7,11.6,4.1,13.8,3.9,14.9,4.5,19.3,5.0,7.3,3.3,5.3,2.7,5.4,2.8,358,21,29.9,5.3,8.3,4.1,7.2,2.2,14.4,5.2,13.0,3.7,9.8,3.4,2.0,1.6,1.1,1.4,17.4,4.3,16.2,4.2,1.1,1.2,0.0,1.1,17.6,4.4,17.3,4.4,0.0,1.1,0.3,0.5,21.1,5.2,21.1,5.2,0.0,1.1,0.0,1.1,1.0,1.3,58.2,5.7,6.4,3.0,3.4,1.9,32.0,4.5,359,37
0500000US01069,01069,"Houston County, Alabama",11143,684,23.1,3.6,29.6,4.2,17.6,2.7,11.1,2.7,11.4,2.8,6.2,2.5,1.1,0.5,95000,6768,9.0,2.8,26.0,3.7,15.2,3.5,17.5,2.9,15.1,3.0,6.7,2.0,6.1,1.7,4.5,1.3,34893,2644,37.9,3.8,18.3,3.2,11.8,2.8,30.8,3.7,1.2,0.8,0.7,0.6,4.2,1.3,10.0,3.0,14.7,3.5,19.0,3.7,17.4,3.2,10.9,2.6,12.1,2.3,6.4,2.1,2.4,1.1,2.0,0.7,304,12,26.6,4.1,9.3,3.0,6.5,1.9,10.8,2.7,22.3,3.6,19.7,3.3,2.1,1.1,0.5,0.3,17.5,2.9,17.3,2.9,0.1,0.1,0.1,0.2,15.1,3.0,14.9,3.0,0.1,0.2,0.1,0.2,17.3,2.8,17.3,2.8,0.0,1.3,0.0,1.3,1.2,0.8,56.3,4.6,5.0,1.3,4.0,2.3,34.8,4.3,370,36
0500000US01073,01073,"Jefferson County, Alabama",59169,3060,21.7,2.8,28.3,2.7,15.2,2.1,10.3,1.7,11.5,1.7,6.3,1.5,6.8,1.2,100100,8442,8.7,2.1,21.5,2.2,14.1,1.8,14.4,1.9,16.6,2.0,8.1,1.4,8.7,1.8,7.9,1.7,42115,2689,40.3,2.8,17.3,2.3,10.1,1.9,31.0,2.8,1.3,0.6,0.8,0.5,1.9,0.7,5.0,1.2,8.8,1.7,13.4,2.3,11.7,2.1,11.8,1.7,19.8,2.6,9.9,1.7,5.8,1.3,11.0,1.5,386,11,22.3,2.6,3.5,0.9,4.6,1.2,14.2,2.5,20.7,2.2,15.3,2.0,4.1,1.1,1.3,0.6,14.4,1.9,13.0,1.7,1.3,0.7,0.1,0.2,16.6,2.0,15.8,2.0,0.6,0.5,0.3,0.3,24.7,2.4,24.6,2.4,0.1,0.1,0.0,0.2,1.3,0.6,36.9,3.0,15.0,2.2,17.7,1.7,30.4,2.5,742,69
0500000US01077,01077,"Lauderdale County, Alabama",12041,1217,22.6,5.6,24.7,5.3,17.2,4.9,9.5,3.2,17.7,5.9,5.0,3.0,3.2,2.4,105400,12289,7.5,2.9,25.6,5.8,13.4,4.9,14.7,4.7,19.8,6.0,6.1,2.4,9.3,4.0,3.6,2.3,37640,5334,37.3,6.4,17.6,4.7,15.3,5.7,27.7,6.0,2.0,1.9,3.5,3.8,5.4,3.0,8.0,3.5,13.6,3.9,14.7,4.4,10.7,4.4,9.2,3.3,16.2,4.8,5.3,3.8,5.7,2.8,7.6,2.9,322,30,21.0,4.4,8.1,4.9,5.4,2.9,7.5,3.1,23.5,5.8,19.9,5.5,2.9,1.9,0.7,0.8,14.7,4.7,14.6,4.6,0.1,0.1,0.0,1.2,19.8,6.0,19.8,6.0,0.0,1.2,0.0,1.2,19.0,4.9,19.0,4.9,0.0,1.2,0.0,1.2,2.0,1.9,51.6,5.7,10.8,4.6,6.0,3.0,31.6,5.1,514,66
0500000US01081,01081,"Lee County, Alabama",13908,1584,28.0,7.0,17.8,5.9,12.2,4.7,13.3,4.7,15.1,4.2,10.4,5.3,3.1,1.7,112000,22507,9.1,4.0,18.9,4.8,8.9,3.5,16.0,5.8,18.9,5.3,10.4,4.3,7.2,2.8,10.6,5.1,44750,8167,42.5,6.8,18.8,4.5,8.7,3.9,28.2,6.3,1.9,1.4,2.0,1.7,4.5,2.7,8.2,3.4,12.1,4.4,9.5,4.8,17.6,5.4,11.6,4.1,12.4,4.5,11.2,4.2,4.1,3.6,6.7,4.0,339,19,19.5,5.3,5.6,2.7,3.1,2.5,10.8,4.3,15.5,4.0,12.4,3.7,2.7,1.8,0.4,0.7,16.0,5.8,16.0,5.8,0.0,1.1,0.0,1.1,18.9,5.3,18.9,5.3,0.0,1.1,0.0,1.1,28.2,6.7,28.2,6.7,0.0,1.1,0.0,1.1,1.9,1.4,43.1,7.7,25.7,6.4,7.6,4.3,23.6,5.8,663,183
