GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC01_EST_VC14,HC01_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC01_EST_VC32,HC01_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC01_EST_VC65,HC01_MOE_VC65,HC01_EST_VC66,HC01_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC01_EST_VC68,HC01_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69
0500000US01003,01003,"Baldwin County, Alabama",22311,1961,12.1,3.5,11.6,3.3,37.3,5.4,16.9,4.3,16.6,3.6,2.7,1.2,1.2,1.0,1.6,1.4,169000,10124,5.8,2.7,18.1,4.4,12.1,3.8,14.9,3.6,18.7,4.5,10.9,3.0,10.9,3.7,8.5,2.9,48370,9681,27.4,4.7,19.1,3.4,16.2,3.7,36.6,5.4,0.6,0.6,13.7,3.6,46.2,5.2,26.8,4.9,10.6,3.6,1.5,1.0,0.6,1.0,0.8,1.0,359,21,18.3,4.2,4.1,2.2,6.7,3.1,7.5,3.5,17.0,4.0,11.4,3.5,4.3,2.5,1.3,1.1,14.9,3.6,13.6,3.4,0.8,0.7,0.5,0.7,18.7,4.5,18.5,4.5,0.2,0.2,0.0,0.7,30.4,4.2,30.4,4.2,0.0,0.7,0.0,0.7,0.6,0.6,61.9,5.4,14.8,3.8,6.1,2.1,17.2,4.0,505,45
0500000US01015,01015,"Calhoun County, Alabama",14831,1225,24.1,5.0,29.2,5.0,29.0,5.2,9.7,3.5,5.6,2.8,0.8,1.1,0.3,0.5,1.2,1.3,89400,12587,8.2,2.4,24.3,4.4,18.3,5.1,16.7,4.3,13.9,4.4,7.6,3.2,8.0,3.4,3.0,1.8,34566,3453,41.9,5.8,13.8,4.3,10.3,3.9,31.4,5.4,2.6,1.7,11.2,3.3,60.6,5.6,22.0,4.3,5.6,2.5,0.3,0.5,0.4,0.6,0.0,1.1,324,10,21.5,4.0,5.9,2.2,6.3,2.4,9.4,3.1,26.7,5.7,24.8,5.9,1.7,1.3,0.2,0.4,16.7,4.3,16.3,4.3,0.0,1.1,0.4,0.6,13.9,4.4,13.9,4.4,0.0,1.1,0.0,1.1,18.6,4.7,18.6,4.7,0.0,1.1,0.0,1.1,2.6,1.7,54.6,6.1,5.5,2.5,3.3,2.0,36.6,5.9,328,84
0500000US01043,01043,"Cullman County, Alabama",10994,1239,14.4,4.8,29.5,6.3,35.1,6.2,12.5,4.5,6.4,2.6,1.4,1.2,0.0,1.4,0.7,1.0,112800,13694,6.2,3.2,23.3,7.2,19.0,5.3,22.7,5.1,15.4,6.1,6.1,2.3,4.1,2.1,3.1,2.1,35531,3716,31.0,6.3,16.1,5.3,16.9,6.4,32.7,7.1,3.2,2.6,7.6,2.9,62.2,6.9,23.3,6.3,6.9,2.9,0.0,1.4,0.0,1.4,0.0,1.4,327,23,17.5,5.7,6.5,3.8,3.5,2.0,7.5,4.5,27.8,6.1,25.8,6.1,1.4,1.4,0.7,0.7,22.7,5.1,21.6,5.0,1.1,1.1,0.0,1.4,15.4,6.1,15.4,6.1,0.0,1.4,0.0,1.4,13.3,3.6,13.3,3.6,0.0,1.4,0.0,1.4,3.2,2.6,59.9,7.1,5.2,2.5,2.4,1.8,32.4,6.5,335,53
0500000US01049,01049,"DeKalb County, Alabama",10175,1338,33.3,7.6,24.9,6.6,26.6,5.6,11.2,4.3,1.1,1.2,1.8,2.1,0.7,0.9,0.4,0.4,80400,13614,7.1,3.3,23.0,6.0,25.2,7.3,15.8,5.6,16.7,5.0,6.7,2.6,4.0,2.0,1.5,1.3,32259,3047,45.7,8.3,14.8,6.0,14.1,5.2,22.2,6.0,3.3,3.2,19.4,6.8,59.6,7.4,17.5,5.8,2.6,1.9,0.9,1.4,0.0,1.5,0.0,1.5,291,24,17.4,5.8,7.5,4.7,5.4,2.9,4.4,2.1,34.8,7.1,29.1,6.0,4.7,3.2,0.9,1.4,15.8,5.6,15.0,5.4,0.7,1.0,0.0,1.5,16.7,5.0,16.7,5.0,0.0,1.5,0.0,1.5,12.1,3.5,12.1,3.5,0.0,1.5,0.0,1.5,3.3,3.2,65.0,7.2,4.8,3.2,2.2,2.0,27.9,6.9,225,44
0500000US01051,01051,"Elmore County, Alabama",6602,1040,15.4,7.2,14.9,4.8,22.9,6.4,20.1,7.4,19.5,7.2,7.1,4.6,0.0,2.4,0.0,2.4,189200,29002,1.2,1.6,18.4,7.5,5.2,3.9,18.8,6.8,21.9,7.3,11.3,4.3,17.0,6.8,6.3,3.9,55035,11097,38.5,8.3,17.9,6.7,8.8,4.5,34.8,7.7,0.0,2.4,,,,,,,,,,,,,,,363,25,11.9,7.0,2.5,2.4,3.8,2.9,5.6,6.6,12.9,5.7,9.1,4.5,3.8,3.4,0.0,2.4,18.8,6.8,18.8,6.8,0.0,2.4,0.0,2.4,21.9,7.3,21.9,7.3,0.0,2.4,0.0,2.4,34.5,8.9,34.5,8.9,0.0,2.4,0.0,2.4,0.0,2.4,68.8,7.2,9.1,5.4,1.9,2.2,20.3,7.8,464,48
0500000US01055,01055,"Etowah County, Alabama",12463,1340,27.9,5.3,29.9,5.7,27.9,5.7,7.0,3.0,3.6,2.0,2.8,3.0,0.9,0.8,0.0,1.3,85500,6929,8.9,3.5,24.2,5.5,15.8,4.1,15.9,5.8,19.2,4.4,8.0,3.4,6.6,2.7,1.3,1.1,35456,2726,44.1,5.8,17.0,4.7,12.5,3.9,22.8,5.8,3.6,2.3,16.3,4.7,61.7,5.6,17.5,5.0,3.7,1.8,0.5,0.9,0.3,0.6,0.0,1.3,311,20,19.1,4.3,4.7,2.3,7.1,3.4,7.3,3.1,26.2,4.8,23.7,4.9,1.1,1.0,1.4,1.2,15.9,5.8,15.5,5.6,0.1,0.2,0.3,0.6,19.2,4.4,19.2,4.4,0.0,1.3,0.0,1.3,15.9,4.4,15.9,4.4,0.0,1.3,0.0,1.3,3.6,2.3,58.6,6.3,6.1,3.1,4.2,3.0,31.1,5.4,363,74
0500000US01069,01069,"Houston County, Alabama",11143,724,21.3,3.7,27.5,3.7,26.8,3.4,13.9,2.8,6.1,2.2,2.7,1.8,1.0,0.5,0.7,0.4,103000,8307,7.6,2.0,25.5,4.2,9.3,2.0,13.3,2.8,17.4,3.3,12.7,2.7,8.1,2.5,6.0,1.7,42557,5080,39.9,3.9,17.5,3.1,13.1,3.6,28.4,3.5,1.1,0.5,16.3,3.4,57.5,4.2,19.6,3.2,5.9,2.2,0.3,0.3,0.1,0.2,0.3,0.3,316,12,23.7,4.5,8.5,4.0,8.1,2.8,7.1,1.8,17.8,2.9,16.2,2.8,1.4,0.8,0.1,0.2,13.3,2.8,12.5,2.7,0.8,0.5,0.0,1.4,17.4,3.3,17.4,3.3,0.0,1.4,0.0,1.4,26.8,3.8,26.8,3.8,0.0,1.4,0.0,1.4,1.1,0.5,54.6,4.6,9.5,2.4,3.6,1.1,32.3,4.1,374,59
0500000US01073,01073,"Jefferson County, Alabama",63911,3125,16.5,2.3,28.8,2.7,27.4,2.7,12.3,1.6,10.3,1.8,2.1,0.7,0.8,0.4,2.0,0.9,113000,6948,7.4,1.4,18.6,2.1,12.3,1.9,15.1,2.1,17.9,2.0,8.8,1.6,10.2,1.6,9.6,1.6,45395,2840,41.7,2.8,16.8,2.0,10.3,1.7,29.8,2.7,1.5,0.7,9.5,1.8,44.3,3.0,30.1,2.6,12.1,2.2,1.8,0.7,0.6,0.4,1.6,0.8,383,14,19.4,2.4,6.0,1.6,4.4,1.2,8.9,1.5,17.5,2.1,11.7,2.0,5.3,1.5,0.5,0.4,15.1,2.1,14.3,2.0,0.7,0.5,0.1,0.1,17.9,2.0,17.5,2.1,0.4,0.4,0.1,0.1,28.6,2.4,28.6,2.4,0.1,0.1,0.0,0.2,1.5,0.7,35.6,2.9,19.4,2.5,17.8,2.3,27.2,2.8,821,61
0500000US01077,01077,"Lauderdale County, Alabama",11785,1400,18.5,5.7,21.1,5.9,32.1,5.9,19.4,5.4,6.8,3.1,0.5,0.7,0.8,1.3,0.8,1.1,121800,20143,6.8,4.3,19.5,5.1,10.7,5.0,19.9,5.4,18.1,5.2,15.4,5.5,6.8,3.3,2.7,2.1,42740,4855,33.9,6.4,22.0,6.0,10.4,4.2,33.4,6.7,0.4,0.6,8.9,3.8,56.0,6.4,22.5,4.8,12.2,3.7,0.0,1.3,0.0,1.3,0.4,0.7,343,19,16.6,5.1,4.3,2.3,2.1,1.8,10.1,4.9,20.1,5.7,15.8,5.0,4.0,2.7,0.4,0.7,19.9,5.4,17.1,4.8,2.4,2.1,0.4,0.7,18.1,5.2,17.9,5.2,0.2,0.4,0.0,1.3,25.0,5.3,25.0,5.3,0.0,1.3,0.0,1.3,0.4,0.6,54.4,7.2,15.0,4.8,3.6,2.3,27.0,7.0,514,89
0500000US01081,01081,"Lee County, Alabama",13944,1821,24.1,6.2,23.9,6.9,18.4,5.1,17.3,5.2,11.3,5.1,4.3,3.0,0.1,0.1,0.5,0.9,106300,18946,11.2,5.4,19.1,5.4,9.1,3.3,19.2,5.3,18.5,6.1,6.8,3.0,10.9,4.8,5.2,2.4,45174,5186,44.4,7.4,8.5,3.3,7.7,3.4,34.8,7.2,4.6,4.6,11.3,5.5,51.1,7.5,27.0,7.1,9.3,4.4,0.0,1.1,0.8,1.4,0.5,0.9,354,27,21.2,6.2,6.1,3.8,6.6,3.7,8.5,3.6,13.6,4.4,10.9,3.9,2.2,2.0,0.5,0.9,19.2,5.3,19.2,5.3,0.0,1.1,0.0,1.1,18.5,6.1,18.5,6.1,0.0,1.1,0.0,1.1,23.0,5.6,23.0,5.6,0.0,1.1,0.0,1.1,4.6,4.6,40.0,7.3,17.8,5.5,14.6,3.9,27.6,5.9,721,121
