GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC01_EST_VC44,HC01_MOE_VC44,HC02_EST_VC44,HC02_MOE_VC44,HC01_EST_VC45,HC01_MOE_VC45,HC02_EST_VC45,HC02_MOE_VC45,HC01_EST_VC46,HC01_MOE_VC46,HC02_EST_VC46,HC02_MOE_VC46,HC01_EST_VC47,HC01_MOE_VC47,HC02_EST_VC47,HC02_MOE_VC47,HC01_EST_VC48,HC01_MOE_VC48,HC02_EST_VC48,HC02_MOE_VC48,HC01_EST_VC49,HC01_MOE_VC49,HC02_EST_VC49,HC02_MOE_VC49,HC01_EST_VC50,HC01_MOE_VC50,HC02_EST_VC50,HC02_MOE_VC50,HC01_EST_VC51,HC01_MOE_VC51,HC02_EST_VC51,HC02_MOE_VC51,HC01_EST_VC52,HC01_MOE_VC52,HC02_EST_VC52,HC02_MOE_VC52,HC01_EST_VC53,HC01_MOE_VC53,HC02_EST_VC53,HC02_MOE_VC53,HC01_EST_VC54,HC01_MOE_VC54,HC02_EST_VC54,HC02_MOE_VC54,HC01_EST_VC55,HC01_MOE_VC55,HC02_EST_VC55,HC02_MOE_VC55,HC01_EST_VC56,HC01_MOE_VC56,HC02_EST_VC56,HC02_MOE_VC56,HC01_EST_VC57,HC01_MOE_VC57,HC02_EST_VC57,HC02_MOE_VC57,HC01_EST_VC58,HC01_MOE_VC58,HC02_EST_VC58,HC02_MOE_VC58,HC01_EST_VC59,HC01_MOE_VC59,HC02_EST_VC59,HC02_MOE_VC59,HC01_EST_VC60,HC01_MOE_VC60,HC02_EST_VC60,HC02_MOE_VC60,HC01_EST_VC61,HC01_MOE_VC61,HC02_EST_VC61,HC02_MOE_VC61,HC01_EST_VC62,HC01_MOE_VC62,HC02_EST_VC62,HC02_MOE_VC62,HC01_EST_VC65,HC01_MOE_VC65,HC02_EST_VC65,HC02_MOE_VC65,HC01_EST_VC66,HC01_MOE_VC66,HC02_EST_VC66,HC02_MOE_VC66,HC01_EST_VC67,HC01_MOE_VC67,HC02_EST_VC67,HC02_MOE_VC67,HC01_EST_VC68,HC01_MOE_VC68,HC02_EST_VC68,HC02_MOE_VC68,HC01_EST_VC69,HC01_MOE_VC69,HC02_EST_VC69,HC02_MOE_VC69
0500000US01003,01003,"Baldwin County, Alabama",24917,1918,24917,1918,1445,596,5.8,2.4,3301,885,13.2,3.5,8290,1651,33.3,5.4,4237,1153,17.0,4.4,4795,1033,19.2,4.4,1544,579,6.2,2.4,428,267,1.7,1.1,877,651,3.5,2.6,192900,16709,192900,16709,1145,503,4.6,2.0,4721,1259,18.9,4.6,3763,1093,15.1,4.4,3394,812,13.6,3.2,4898,934,19.7,3.4,2704,845,10.9,3.3,2724,843,10.9,3.2,1568,509,6.3,2.0,47537,5279,47537,5279,5493,1056,22.0,3.9,4349,1101,17.5,4.1,2289,659,9.2,2.7,12786,1813,51.3,5.9,0,200,0.0,0.7,3092,963,12.4,3.6,11582,1611,46.5,6.2,6240,1476,25.0,5.3,3665,946,14.7,3.7,293,253,1.2,1.0,0,200,0.0,0.7,45,75,0.2,0.3,353,33,353,33,4270,1191,17.1,4.3,1187,630,4.8,2.5,503,355,2.0,1.4,2580,919,10.4,3.4,5359,1172,21.5,4.6,4274,1051,17.2,4.2,1033,602,4.1,2.4,52,87,0.2,0.3,3394,812,13.6,3.2,3093,763,12.4,3.1,301,293,1.2,1.2,0,200,0.0,0.7,4898,934,19.7,3.4,4821,920,19.3,3.3,77,103,0.3,0.4,0,200,0.0,0.7,6996,1213,28.1,4.4,6996,1213,28.1,4.4,0,200,0.0,0.7,0,200,0.0,0.7,0,200,0.0,0.7,11251,1711,45.2,5.4,3699,1003,14.8,4.0,2848,809,11.4,3.1,7119,1338,28.6,5.0,580,89,580,89
0500000US01015,01015,"Calhoun County, Alabama",14340,1386,14340,1386,4110,953,28.7,5.7,3415,695,23.8,4.5,4577,977,31.9,6.1,1698,689,11.8,4.7,254,192,1.8,1.3,130,169,0.9,1.2,156,160,1.1,1.1,0,200,0.0,1.1,93600,13932,93600,13932,1057,444,7.4,3.0,3169,829,22.1,5.0,1621,613,11.3,4.2,2807,639,19.6,4.6,2899,782,20.2,5.3,1122,605,7.8,4.0,861,454,6.0,3.1,804,435,5.6,3.0,40760,4321,40760,4321,7141,1217,49.8,6.5,2396,630,16.7,4.3,1074,439,7.5,3.0,3468,803,24.2,4.8,261,206,1.8,1.5,2035,532,14.2,3.5,9212,1302,64.2,6.1,2514,783,17.5,5.2,473,283,3.3,2.0,28,51,0.2,0.4,0,200,0.0,1.1,78,130,0.5,0.9,294,17,294,17,2845,903,19.8,5.5,1175,569,8.2,3.7,707,345,4.9,2.4,963,469,6.7,3.0,2741,792,19.1,5.2,2296,695,16.0,4.7,445,312,3.1,2.1,0,200,0.0,1.1,2807,639,19.6,4.6,2752,624,19.2,4.5,55,91,0.4,0.6,0,200,0.0,1.1,2899,782,20.2,5.3,2793,760,19.5,5.1,28,51,0.2,0.4,78,130,0.5,0.9,2787,826,19.4,5.0,2787,826,19.4,5.0,0,200,0.0,1.1,0,200,0.0,1.1,261,206,1.8,1.5,7206,1145,50.3,6.7,953,468,6.6,3.2,319,221,2.2,1.6,5862,1195,40.9,6.9,281,37,281,37
0500000US01043,01043,"Cullman County, Alabama",10145,1418,10145,1418,2361,620,23.3,5.5,1983,618,19.5,5.4,3341,770,32.9,6.1,1440,589,14.2,5.4,700,330,6.9,3.3,100,114,1.0,1.1,9,15,0.1,0.1,211,320,2.1,3.1,118500,17172,118500,17172,685,448,6.8,4.2,1765,568,17.4,5.6,1091,511,10.8,4.6,1919,655,18.9,6.3,2396,773,23.6,6.5,1059,471,10.4,4.4,995,497,9.8,4.8,235,240,2.3,2.3,42311,10679,42311,10679,3838,816,37.8,6.6,2069,686,20.4,5.9,719,383,7.1,3.7,3366,835,33.2,6.7,153,165,1.5,1.6,1126,404,11.1,3.9,5520,1099,54.4,6.8,2134,628,21.0,5.6,1337,634,13.2,5.9,28,48,0.3,0.5,0,200,0.0,1.6,0,200,0.0,1.6,356,20,356,20,1712,600,16.9,5.8,328,238,3.2,2.3,430,276,4.2,2.8,954,504,9.4,4.9,1676,624,16.5,5.5,1436,555,14.2,4.9,192,237,1.9,2.3,48,75,0.5,0.7,1919,655,18.9,6.3,1678,633,16.5,5.9,241,206,2.4,2.1,0,200,0.0,1.6,2396,773,23.6,6.5,2396,773,23.6,6.5,0,200,0.0,1.6,0,200,0.0,1.6,2289,690,22.6,5.9,2289,690,22.6,5.9,0,200,0.0,1.6,0,200,0.0,1.6,153,165,1.5,1.6,6756,1247,66.6,6.9,449,279,4.4,2.8,265,332,2.6,3.1,2675,711,26.4,6.4,283,86,283,86
0500000US01049,01049,"DeKalb County, Alabama",9579,1087,9579,1087,2899,800,30.3,7.4,2677,737,27.9,6.5,2349,655,24.5,6.2,905,383,9.4,4.2,549,333,5.7,3.4,154,206,1.6,2.2,46,46,0.5,0.5,0,200,0.0,1.7,84100,10468,84100,10468,841,365,8.8,3.7,2574,802,26.9,7.3,1775,616,18.5,6.4,1619,550,16.9,5.6,1379,559,14.4,5.6,524,336,5.5,3.3,213,158,2.2,1.6,654,348,6.8,3.6,33359,2868,33359,2868,3997,890,41.7,7.8,1344,489,14.0,4.8,832,430,8.7,4.2,3282,788,34.3,7.5,124,132,1.3,1.4,1811,536,18.9,5.1,5572,984,58.2,7.8,1633,476,17.0,4.7,541,365,5.6,3.7,22,39,0.2,0.4,0,200,0.0,1.7,0,200,0.0,1.7,305,26,305,26,2575,731,26.9,6.8,1189,603,12.4,6.1,712,452,7.4,4.6,674,313,7.0,3.2,2491,736,26.0,7.0,2080,669,21.7,6.7,216,222,2.3,2.3,195,281,2.0,2.9,1619,550,16.9,5.6,1576,544,16.5,5.6,43,76,0.4,0.8,0,200,0.0,1.7,1379,559,14.4,5.6,1357,556,14.2,5.5,22,39,0.2,0.4,0,200,0.0,1.7,1391,549,14.5,5.3,1391,549,14.5,5.3,0,200,0.0,1.7,0,200,0.0,1.7,124,132,1.3,1.4,5114,856,53.4,7.7,452,246,4.7,2.6,293,294,3.1,3.1,3720,942,38.8,7.8,371,44,371,44
0500000US01051,01051,"Elmore County, Alabama",7400,1182,7400,1182,2056,712,27.8,8.6,850,459,11.5,5.8,2314,738,31.3,8.4,1223,524,16.5,6.4,608,315,8.2,4.3,284,266,3.8,3.7,0,200,0.0,2.2,65,110,0.9,1.4,120800,24902,120800,24902,460,279,6.2,3.6,1350,515,18.2,6.4,1011,656,13.7,8.4,1056,396,14.3,5.0,927,338,12.5,4.5,811,447,11.0,5.5,1069,483,14.4,5.9,716,370,9.7,5.0,47321,10598,47321,10598,3590,920,48.5,9.6,1011,444,13.7,5.5,710,484,9.6,6.4,1843,649,24.9,8.0,246,170,3.3,2.2,1596,600,21.6,7.3,4098,943,55.4,8.7,1200,470,16.2,5.7,506,330,6.8,4.5,0,200,0.0,2.2,0,200,0.0,2.2,0,200,0.0,2.2,279,27,279,27,916,414,12.4,5.2,381,298,5.1,3.8,243,199,3.3,2.8,292,238,3.9,3.2,1659,713,22.4,8.8,1448,643,19.6,8.1,172,201,2.3,2.6,39,70,0.5,0.9,1056,396,14.3,5.0,1056,396,14.3,5.0,0,200,0.0,2.2,0,200,0.0,2.2,927,338,12.5,4.5,927,338,12.5,4.5,0,200,0.0,2.2,0,200,0.0,2.2,2596,806,35.1,9.1,2596,806,35.1,9.1,0,200,0.0,2.2,0,200,0.0,2.2,246,170,3.3,2.2,5488,1094,74.2,7.8,184,187,2.5,2.5,135,189,1.8,2.5,1593,548,21.5,7.0,327,82,327,82
0500000US01055,01055,"Etowah County, Alabama",14219,1491,14219,1491,4182,931,29.4,5.8,4078,877,28.7,5.4,3657,774,25.7,4.8,1040,434,7.3,3.0,690,393,4.9,2.8,364,417,2.6,2.9,74,119,0.5,0.8,134,167,0.9,1.2,75900,6685,75900,6685,908,426,6.4,2.8,3831,941,26.9,5.8,1662,603,11.7,4.3,2569,707,18.1,4.6,2482,757,17.5,5.0,1599,735,11.2,4.9,722,383,5.1,2.8,446,320,3.1,2.2,38086,4660,38086,4660,5970,1083,42.0,6.9,2648,776,18.6,4.9,1617,577,11.4,4.0,3897,1049,27.4,6.5,87,104,0.6,0.7,1822,596,12.8,3.8,8872,1221,62.4,5.8,2630,674,18.5,4.4,838,384,5.9,2.6,35,59,0.2,0.4,0,200,0.0,1.2,22,39,0.2,0.3,314,12,314,12,3392,780,23.9,4.5,1375,577,9.7,3.8,942,443,6.6,3.0,1075,361,7.6,2.5,2922,794,20.5,5.5,2267,731,15.9,5.0,628,401,4.4,2.9,27,46,0.2,0.3,2569,707,18.1,4.6,2492,696,17.5,4.5,77,93,0.5,0.7,0,200,0.0,1.2,2482,757,17.5,5.0,2482,757,17.5,5.0,0,200,0.0,1.2,0,200,0.0,1.2,2767,859,19.5,5.6,2767,859,19.5,5.6,0,200,0.0,1.2,0,200,0.0,1.2,87,104,0.6,0.7,7270,1245,51.1,6.1,1092,492,7.7,3.4,506,320,3.6,2.2,5351,859,37.6,5.4,377,72,377,72
0500000US01069,01069,"Houston County, Alabama",10483,701,10483,701,1990,421,19.0,3.8,2992,534,28.5,4.6,3225,359,30.8,3.1,1497,274,14.3,2.5,388,105,3.7,1.0,259,175,2.5,1.6,49,52,0.5,0.5,83,58,0.8,0.6,108600,14023,108600,14023,777,209,7.4,1.9,2333,363,22.3,3.3,1411,378,13.5,3.4,2005,428,19.1,3.8,1466,280,14.0,2.5,945,243,9.0,2.3,795,226,7.6,2.0,751,240,7.2,2.2,39173,1839,39173,1839,4425,498,42.2,4.2,1766,381,16.8,3.2,1128,287,10.8,2.6,2982,445,28.4,4.0,182,95,1.7,0.9,1603,399,15.3,3.6,6318,629,60.3,4.3,1898,288,18.1,2.7,568,251,5.4,2.4,79,60,0.8,0.6,8,16,0.1,0.2,9,15,0.1,0.1,300,13,300,13,2075,348,19.8,3.1,696,227,6.6,2.2,571,181,5.4,1.7,808,229,7.7,2.1,2264,455,21.6,4.1,1862,421,17.8,3.7,311,120,3.0,1.2,91,116,0.9,1.1,2005,428,19.1,3.8,1926,434,18.4,3.9,79,98,0.8,0.9,0,200,0.0,1.6,1466,280,14.0,2.5,1443,277,13.8,2.5,23,28,0.2,0.3,0,200,0.0,1.6,2491,419,23.8,3.6,2491,419,23.8,3.6,0,200,0.0,1.6,0,200,0.0,1.6,182,95,1.7,0.9,5693,543,54.3,4.1,423,117,4.0,1.1,421,227,4.0,2.1,3946,553,37.6,4.4,346,26,346,26
0500000US01073,01073,"Jefferson County, Alabama",57378,3195,57378,3195,9698,1645,16.9,2.5,14911,2006,26.0,2.9,15450,1474,26.9,2.4,6495,1152,11.3,1.9,6785,1075,11.8,2.0,2554,646,4.5,1.1,498,276,0.9,0.5,987,342,1.7,0.6,121900,10011,121900,10011,3367,969,5.9,1.7,11369,1816,19.8,2.8,5969,1277,10.4,2.1,8907,1293,15.5,2.0,10478,1446,18.3,2.5,6615,1094,11.5,1.9,6061,1136,10.6,1.8,4612,852,8.0,1.5,47978,4055,47978,4055,21651,2229,37.7,3.0,10559,1467,18.4,2.3,6182,1176,10.8,1.9,17917,1936,31.2,3.3,1069,555,1.9,1.0,5124,1039,8.9,1.7,25076,2382,43.7,3.2,15986,2015,27.9,2.9,8589,1353,15.0,2.5,1115,457,1.9,0.8,542,373,0.9,0.6,946,375,1.6,0.7,390,10,390,10,9659,1506,16.8,2.5,1890,520,3.3,0.9,3011,840,5.2,1.4,4758,1058,8.3,1.8,9977,1736,17.4,2.7,7268,1383,12.7,2.2,2174,770,3.8,1.3,535,335,0.9,0.6,8907,1293,15.5,2.0,8136,1240,14.2,2.0,386,245,0.7,0.4,385,363,0.7,0.6,10478,1446,18.3,2.5,9831,1358,17.1,2.3,562,388,1.0,0.7,85,146,0.1,0.3,17288,1799,30.1,2.8,17200,1811,30.0,2.8,39,66,0.1,0.1,49,80,0.1,0.1,1069,555,1.9,1.0,18818,2003,32.8,2.8,10659,1817,18.6,2.9,12429,1265,21.7,2.4,15472,1944,27.0,2.9,898,63,898,63
0500000US01077,01077,"Lauderdale County, Alabama",11566,1164,11566,1164,1316,471,11.4,3.7,2945,780,25.5,6.1,4643,969,40.1,7.2,1428,448,12.3,3.9,777,380,6.7,3.3,334,318,2.9,2.8,123,142,1.1,1.2,0,200,0.0,1.4,140200,27179,140200,27179,442,294,3.8,2.5,2083,638,18.0,4.6,1464,477,12.7,4.3,2190,835,18.9,7.0,2491,812,21.5,6.6,1355,484,11.7,4.2,1039,413,9.0,3.5,502,359,4.3,3.1,46183,9361,46183,9361,4324,986,37.4,7.4,2547,696,22.0,5.5,1092,453,9.4,3.9,3504,845,30.3,6.8,99,143,0.9,1.2,992,546,8.6,4.5,7060,1026,61.0,7.5,2575,729,22.3,5.7,922,428,8.0,3.6,17,22,0.1,0.2,0,200,0.0,1.4,0,200,0.0,1.4,344,23,344,23,2110,706,18.2,5.2,772,452,6.7,3.7,330,250,2.9,2.1,1008,462,8.7,3.7,1780,550,15.4,4.9,1558,504,13.5,4.5,222,202,1.9,1.7,0,200,0.0,1.4,2190,835,18.9,7.0,2190,835,18.9,7.0,0,200,0.0,1.4,0,200,0.0,1.4,2491,812,21.5,6.6,2491,812,21.5,6.6,0,200,0.0,1.4,0,200,0.0,1.4,2896,673,25.0,5.7,2896,673,25.0,5.7,0,200,0.0,1.4,0,200,0.0,1.4,99,143,0.9,1.2,5332,1218,46.1,8.2,1665,505,14.4,4.4,520,402,4.5,3.5,4049,851,35.0,7.0,533,64,533,64
0500000US01081,01081,"Lee County, Alabama",14758,1565,14758,1565,4704,1250,31.9,6.9,1351,510,9.2,3.5,3546,845,24.0,5.3,2715,832,18.4,5.6,1493,579,10.1,3.9,571,366,3.9,2.4,163,136,1.1,0.9,215,244,1.5,1.6,136800,27375,136800,27375,1682,959,11.4,6.1,2865,1096,19.4,6.8,1879,943,12.7,6.3,1710,736,11.6,4.7,2311,754,15.7,5.3,1901,677,12.9,4.5,1324,598,9.0,4.0,1086,440,7.4,3.0,42747,6370,42747,6370,6116,1385,41.4,7.7,2390,588,16.2,4.3,1552,656,10.5,4.3,4346,1123,29.4,6.7,354,261,2.4,1.8,1276,628,8.6,4.2,7889,1359,53.5,7.2,4041,1104,27.4,7.0,1552,618,10.5,4.1,0,200,0.0,1.1,0,200,0.0,1.1,0,200,0.0,1.1,359,24,359,24,2710,1125,18.4,6.6,481,344,3.3,2.3,572,493,3.9,3.2,1657,953,11.2,6.0,3362,1013,22.8,6.6,2830,949,19.2,6.1,490,348,3.3,2.4,42,64,0.3,0.4,1710,736,11.6,4.7,1710,736,11.6,4.7,0,200,0.0,1.1,0,200,0.0,1.1,2311,754,15.7,5.3,2311,754,15.7,5.3,0,200,0.0,1.1,0,200,0.0,1.1,4311,953,29.2,6.3,4311,953,29.2,6.3,0,200,0.0,1.1,0,200,0.0,1.1,354,261,2.4,1.8,6831,1260,46.3,7.2,3163,869,21.4,5.6,1519,617,10.3,4.2,3245,1087,22.0,6.6,638,128,638,128
