GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC04_EST_VC14,HC04_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC03_EST_VC22,HC03_MOE_VC22,HC04_EST_VC22,HC04_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC04_EST_VC23,HC04_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC03_EST_VC24,HC03_MOE_VC24,HC04_EST_VC24,HC04_MOE_VC24,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC04_EST_VC26,HC04_MOE_VC26,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC04_EST_VC28,HC04_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC04_EST_VC30,HC04_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC04_EST_VC31,HC04_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC04_EST_VC32,HC04_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC04_EST_VC33,HC04_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC03_EST_VC34,HC03_MOE_VC34,HC04_EST_VC34,HC04_MOE_VC34,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC04_EST_VC36,HC04_MOE_VC36
0500000US01003,01003,"Baldwin County, Alabama",128010,736,62.5,2.0,58.4,2.0,5.2,1.7,7433,879,61.9,8.3,51.0,8.5,17.5,8.6,10383,458,82.9,8.3,79.3,8.8,4.3,4.5,42834,1125,80.3,3.8,73.5,4.5,6.2,3.3,23545,1008,82.7,4.1,78.9,4.3,3.5,1.9,18520,639,52.4,6.3,51.6,6.3,1.4,1.4,13821,609,18.0,4.5,18.0,4.5,0.0,6.5,11474,524,6.0,3.0,5.6,2.8,6.7,10.2,,,,,,,,,113631,906,61.9,2.2,57.7,2.3,5.5,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112110,527,61.7,2.2,57.4,2.2,5.5,1.8,95282,799,75.7,2.5,71.2,2.6,4.6,1.8,46830,467,84.9,3.0,80.6,3.7,2.6,1.5,48452,632,66.9,3.8,62.1,4.0,7.1,3.5,,,,,,,,,10700,3232,72.6,9.6,62.4,8.4,14.0,10.4,13770,2134,51.3,8.0,46.6,8.1,9.2,6.9,84899,842,74.9,2.5,70.2,2.6,4.7,1.9,8973,1897,59.1,10.7,58.4,10.5,1.2,1.7,24219,2261,69.5,4.7,67.5,4.7,2.9,2.1,27929,2579,81.0,3.9,73.4,5.4,6.4,4.5,23778,2522,79.1,4.0,73.8,4.8,5.1,2.8,2.0,,(X),,(X),,(X),
0500000US01015,01015,"Calhoun County, Alabama",86920,785,60.5,2.3,55.8,2.2,7.5,1.8,4937,791,56.6,11.0,35.8,9.0,35.6,16.4,7598,457,69.4,8.1,56.0,10.2,19.3,10.7,29642,767,80.9,3.1,77.1,3.5,4.1,2.0,16441,598,74.1,4.9,70.0,5.2,5.4,3.6,13174,503,49.2,6.3,47.5,6.5,2.7,2.7,8822,392,18.9,6.1,17.8,6.1,5.8,7.5,6306,342,4.2,3.5,4.2,3.5,0.0,41.3,,,,,,,,,69436,704,59.2,2.7,54.6,2.6,7.3,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68167,653,59.4,2.7,54.8,2.6,7.4,2.3,66855,543,71.7,2.5,67.1,2.4,6.0,1.6,32506,548,81.4,2.8,77.3,3.0,4.7,2.0,34349,446,62.4,3.7,57.5,3.6,7.5,2.9,,,,,,,,,10107,1860,40.6,8.9,30.9,8.9,24.0,12.1,12776,1501,31.0,6.9,25.9,5.7,14.9,9.0,59257,658,71.9,2.6,68.6,2.4,4.3,1.2,8873,1388,50.3,8.9,44.9,8.9,9.4,6.1,21486,1970,72.9,4.1,69.1,4.2,5.0,2.9,16202,1898,78.0,4.8,75.6,4.9,2.5,1.9,12696,1360,77.6,5.8,75.2,5.9,3.2,2.5,2.5,,(X),,(X),,(X),
0500000US01043,01043,"Cullman County, Alabama",62691,510,61.8,3.0,57.4,2.9,6.6,2.1,3841,452,40.8,9.7,37.3,9.4,8.6,9.0,4817,325,86.0,8.3,78.4,10.1,8.8,8.3,22797,256,81.3,5.0,72.9,5.3,9.5,3.6,11135,213,70.6,7.0,69.1,7.0,2.0,1.9,8975,62,55.1,8.3,53.4,8.2,3.0,2.3,6394,56,18.8,6.0,18.8,6.0,0.0,13.0,4732,108,10.2,5.7,10.2,5.7,0.0,28.7,,,,,,,,,60818,547,61.6,3.0,57.7,3.0,6.1,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59356,368,61.2,3.0,57.3,3.0,6.0,2.2,47724,277,74.3,3.7,68.9,3.6,6.9,2.2,24167,332,85.2,3.1,80.1,3.6,5.2,2.5,23557,245,63.2,5.9,57.4,5.6,9.1,4.0,,,,,,,,,6331,1488,54.7,12.9,44.9,11.7,18.0,10.8,9667,1596,41.0,10.0,38.0,9.3,7.3,6.7,42907,250,73.0,4.0,67.8,4.0,6.6,2.2,7720,1304,60.6,10.0,54.2,9.6,10.5,6.9,16164,1980,69.7,6.4,64.9,6.4,5.9,4.4,12774,1845,80.7,6.0,75.3,6.3,6.8,3.8,6249,1142,81.1,5.9,77.2,6.5,4.1,3.7,2.8,,(X),,(X),,(X),
0500000US01049,01049,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48014,1205,59.2,4.2,52.6,4.2,11.1,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46268,272,58.4,4.4,52.0,4.4,10.9,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8786,2097,48.0,12.9,28.2,9.5,41.3,14.4,9109,1695,36.3,9.0,28.7,8.4,21.0,17.5,35923,551,72.0,4.8,65.1,5.1,9.6,4.3,10779,1642,50.1,9.6,44.2,9.8,11.9,9.5,12147,1504,81.0,6.1,72.7,6.6,10.2,6.5,9064,1263,79.0,8.1,72.5,8.5,8.3,5.7,3933,1039,88.0,6.8,82.2,9.2,6.7,8.0,2.3,,(X),,(X),,(X),
0500000US01051,01051,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42003,744,63.9,3.2,60.3,3.6,4.7,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41761,679,63.8,3.3,60.2,3.7,4.7,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4770,1458,29.5,13.7,23.4,11.9,20.6,21.0,5924,1071,49.5,10.8,38.2,11.4,22.8,13.6,36216,611,75.6,4.5,70.4,4.4,6.1,3.1,4407,1292,57.3,16.5,45.6,15.0,20.4,13.7,12853,1650,71.9,7.3,64.2,6.7,9.6,5.7,11773,1767,79.8,6.6,77.9,6.6,1.5,1.5,7183,1309,86.6,5.4,84.3,6.1,1.8,2.2,2.5,,(X),,(X),,(X),
0500000US01055,01055,"Etowah County, Alabama",80457,354,57.5,2.4,52.3,2.6,9.0,2.2,5434,593,51.3,13.0,37.4,11.7,27.1,13.1,5744,543,82.2,7.9,69.0,9.8,16.0,9.3,26433,848,77.8,3.9,70.8,4.3,8.7,2.9,15084,713,69.7,5.6,65.6,6.1,5.9,3.4,12209,414,48.0,6.4,46.4,6.6,3.4,2.7,8301,324,19.7,6.6,19.7,6.6,0.0,9.7,7252,284,3.0,2.5,2.3,2.3,21.0,33.7,,,,,,,,,67862,513,57.3,2.5,53.0,2.8,7.3,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67244,309,57.5,2.5,53.2,2.8,7.4,2.3,59470,621,70.1,2.8,64.3,2.9,8.1,2.1,28717,524,78.7,3.1,71.7,3.9,8.6,2.8,30753,390,62.0,4.0,57.4,3.8,7.4,3.3,,,,,,,,,7248,1396,48.0,12.1,31.6,10.3,34.1,14.1,12395,1519,33.7,6.2,30.9,6.3,8.3,5.0,53726,646,68.8,2.9,63.8,3.0,7.0,1.9,10044,1705,55.5,8.3,50.0,7.9,10.0,6.6,16726,1822,65.2,5.7,59.3,5.8,9.0,3.3,18911,1818,72.8,4.3,68.7,4.4,5.1,2.6,8045,1350,83.3,6.1,78.8,6.9,5.4,4.5,2.4,,(X),,(X),,(X),
0500000US01069,01069,"Houston County, Alabama",72497,316,63.3,1.9,59.8,2.3,5.5,1.3,5033,306,50.5,7.3,44.2,7.5,12.5,5.8,5228,63,74.1,6.8,65.7,7.0,11.4,5.6,25520,263,83.1,2.5,78.0,3.0,6.0,1.9,13713,163,73.5,5.6,70.9,5.8,3.5,1.8,10585,97,60.6,7.5,59.8,7.5,1.4,0.9,6875,92,20.7,4.6,19.8,4.7,4.4,4.2,5543,45,6.4,2.7,6.4,2.7,0.0,35.6,,,,,,,,,53292,304,64.8,2.4,62.6,2.6,3.2,1.1,17352,200,58.3,3.6,50.2,4.1,14.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52982,259,64.8,2.4,62.7,2.6,3.2,1.1,55046,125,75.5,2.4,71.6,2.9,5.2,1.3,26277,125,85.1,2.3,80.6,3.1,5.2,2.0,28769,137,66.7,4.0,63.3,4.2,5.2,1.7,,,,,,,,,6742,1019,47.4,5.9,33.1,5.8,30.3,8.0,9308,999,45.1,6.9,38.8,7.6,13.8,6.6,49818,145,75.7,2.7,72.2,3.1,4.6,1.3,7385,1235,54.1,4.8,50.0,4.8,7.6,4.2,13832,1236,72.8,3.9,66.3,5.4,8.9,4.1,16943,1340,79.2,3.8,77.2,3.8,2.5,0.9,11658,1269,87.6,2.8,85.9,3.0,1.8,1.3,1.8,,(X),,(X),,(X),
0500000US01073,01073,"Jefferson County, Alabama",502143,1510,64.3,1.1,59.2,1.2,7.8,1.0,32827,1496,41.7,4.7,31.0,4.8,25.6,7.5,40976,258,81.1,3.2,66.6,4.6,17.8,4.1,177262,903,82.0,1.8,76.3,2.1,6.8,1.3,99247,654,79.1,2.2,75.4,2.1,4.6,1.3,68644,452,60.6,2.7,58.1,2.6,4.2,1.5,43300,408,18.8,2.8,18.3,2.7,2.7,2.2,39887,396,5.4,1.5,5.0,1.5,7.1,8.8,,,,,,,,,295236,1382,64.0,1.2,61.3,1.2,4.1,0.8,194236,1364,64.0,2.0,55.4,2.3,13.4,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288137,809,63.7,1.2,61.0,1.3,4.1,0.7,386129,678,77.4,1.4,71.8,1.5,7.1,0.9,182824,385,84.9,1.6,79.4,2.0,6.3,1.1,203305,626,70.6,1.9,64.9,2.0,8.0,1.4,,,,,,,,,48765,5730,52.8,4.3,38.7,4.7,26.8,6.1,55915,3906,39.1,3.2,32.9,2.7,16.0,4.1,345153,734,76.9,1.4,72.4,1.5,5.7,0.9,37288,3766,60.5,4.7,52.5,5.0,13.1,5.4,100271,5815,72.5,2.6,66.2,3.0,8.7,2.2,104356,4942,79.8,2.1,76.0,2.1,4.7,1.0,103238,5537,84.1,2.0,82.1,2.0,2.4,0.9,3.1,,(X),,(X),,(X),
0500000US01077,01077,"Lauderdale County, Alabama",69789,407,53.6,3.0,48.0,3.1,10.6,2.8,4716,453,33.7,9.6,22.6,8.2,32.8,16.6,5787,324,64.4,15.1,56.5,14.2,12.3,8.8,22726,569,74.4,4.7,67.2,5.4,9.6,3.9,13005,427,70.1,5.7,63.0,6.4,10.1,6.5,10370,296,48.5,9.9,45.5,10.0,6.2,4.5,7344,293,11.8,5.2,10.3,5.6,13.2,17.6,5841,274,3.6,3.8,3.6,3.8,0.0,46.7,,,,,,,,,62658,400,53.1,2.8,48.8,3.1,8.1,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62215,269,53.3,2.7,49.0,3.0,8.1,2.6,51888,453,67.0,3.6,60.6,3.6,9.5,2.6,25210,317,75.9,4.0,69.6,4.1,8.4,3.2,26678,385,58.6,5.0,52.2,5.0,10.9,4.6,,,,,,,,,9240,1655,51.9,8.5,30.8,7.1,40.7,13.3,10158,1526,28.9,7.7,24.5,7.2,15.5,8.8,46101,555,67.4,3.6,61.2,3.9,9.2,2.9,8521,1513,48.5,10.1,43.5,10.7,10.3,9.4,15116,1592,64.1,5.7,58.5,6.5,8.8,4.6,13379,1808,74.3,6.9,63.0,7.5,15.2,6.4,9085,1426,80.4,6.2,79.6,6.1,1.0,1.2,3.2,,(X),,(X),,(X),
0500000US01081,01081,"Lee County, Alabama",95877,409,65.5,2.1,59.4,2.4,8.1,1.6,7538,422,49.2,7.9,35.3,7.6,28.1,10.3,19419,312,59.0,6.0,51.1,6.5,13.2,5.8,34868,329,84.4,2.6,77.1,3.7,6.3,1.9,14211,264,85.1,4.1,82.1,4.6,3.5,2.3,9922,208,50.4,6.7,49.0,6.5,2.5,2.6,6216,141,14.4,4.7,12.9,4.5,10.4,11.4,3703,67,5.4,4.7,5.4,4.7,0.0,47.8,,,,,,,,,71790,530,64.9,2.5,59.3,2.9,7.2,1.9,20667,215,68.5,3.8,60.0,4.8,11.6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70989,317,64.5,2.5,58.9,2.9,7.3,1.9,78420,227,73.9,2.2,68.0,2.9,6.8,1.6,38968,251,81.2,2.7,73.1,3.7,7.7,2.2,39452,200,66.7,3.3,63.0,3.4,5.7,2.0,,,,,,,,,16872,1875,43.8,6.0,35.0,6.1,20.0,7.2,9568,1386,46.2,7.7,36.7,7.0,18.6,10.2,59001,331,78.9,2.2,73.6,2.8,5.2,1.5,8062,1474,59.6,6.9,53.2,8.0,10.8,7.3,14492,1562,74.7,5.3,68.9,6.4,7.7,3.6,19426,1721,85.1,3.6,78.5,4.6,3.3,1.9,17021,1438,84.4,3.1,81.5,3.6,3.4,1.9,2.4,,(X),,(X),,(X),
